    HOUR (UT)     SKY TESTER    SUN TESTER
   11.35416698    4.91499996    0.13400000
   11.35583401    4.91499996    2.35100007
   11.35750008    2.19700003    2.33200002
   11.35916710    2.25500011    2.33200002
   11.36083412    2.25500011    2.33200002
   11.36250019    2.25500011    2.33200002
   11.36416721    2.25500011    2.33200002
   11.36583328    2.23600006    2.35100007
   11.36666679    2.25500011    2.33200002
   11.36833382    2.25500011    2.33200002
   11.36999989    2.27399993    2.33200002
   11.37083340    2.23600006    2.35100007
   11.37138939    2.25500011    2.33200002
   11.37194443    2.23600006    2.35100007
   11.37388897    2.13899994    2.35100007
   11.37444496    2.08100009    2.35100007
   11.37555599    2.02399993    2.35100007
   11.37611103    2.00399995    2.35100007
   11.37694454    1.98500001    2.35100007
   11.37750053    1.96599996    2.35100007
   11.37833309    1.96599996    2.35100007
   11.37888908    1.96599996    2.35100007
   11.37972260    1.96599996    2.35100007
   11.38055611    1.96599996    2.35100007
   11.38111115    1.96599996    2.35100007
   11.38194466    1.96599996    2.35100007
   11.38277817    1.96599996    2.35100007
   11.38333321    1.96599996    2.33200002
   11.38416672    1.96599996    2.33200002
   11.38472176    1.96599996    2.35100007
   11.38555527    1.96599996    2.35100007
   11.38638878    1.96599996    2.35100007
   11.38694477    1.96599996    2.35100007
   11.38777733    1.96599996    2.35100007
   11.38833332    1.96599996    2.35100007
   11.38916683    1.96599996    2.35100007
   11.39000034    1.98500001    2.35100007
   11.39055538    1.96599996    2.37100005
   11.39138889    1.96599996    2.35100007
   11.39194393    1.98500001    2.33200002
   11.39277744    1.96599996    2.37100005
   11.39361095    1.96599996    2.37100005
   11.39416695    1.96599996    2.37100005
   11.39499950    1.98500001    2.35100007
   11.39555550    1.98500001    2.37100005
   11.39638901    1.96599996    2.37100005
   11.39722252    1.96599996    2.37100005
   11.39777756    1.98500001    2.37100005
   11.39861107    1.96599996    2.37100005
   11.39944458    1.96599996    2.37100005
   11.39999962    1.96599996    2.37100005
   11.40083313    1.96599996    2.37100005
   11.40138817    1.96599996    2.37100005
   11.40222168    1.96599996    2.37100005
   11.40277767    1.96599996    2.37100005
