    HOUR (UT)     SKY TESTER    SUN TESTER
   13.36833382    0.13400000    0.01900000
   13.36999989    0.13400000    0.05700000
   13.37166691    0.15400000    0.15400000
   13.37333393    0.17299999    0.25000000
   13.37500000    0.19200000    0.38499999
   13.37638855    0.21200000    0.48100001
   13.37805557    0.26899999    0.59700000
   13.37972260    0.32699999    0.71300000
   13.38138866    0.44299999    0.88599998
   13.38305569    0.53899997    0.86699998
   13.38472176    0.57800001    1.05999994
   13.38638878    0.55900002    1.05999994
   13.38805580    1.65699995    2.73699999
   13.38972187    1.67700005    2.75600004
   13.39111137    1.67700005    2.75600004
   13.39277744    1.67700005    2.75600004
   13.39444447    1.67700005    2.73699999
   13.39611053    1.67700005    2.75600004
   13.39777756    1.67700005    2.73699999
   13.39944458    1.69599998    2.75600004
   13.40138817    1.69599998    2.73699999
   13.40305519    1.69599998    2.73699999
   13.40472221    1.69599998    2.75600004
   13.40638828    1.71500003    2.73699999
   13.40805531    1.71500003    2.73699999
   13.40972137    1.71500003    2.75600004
   13.41138840    1.69599998    2.73699999
   13.41305542    1.67700005    2.75600004
   13.41472149    1.67700005    2.73699999
   13.41638851    1.65699995    2.75600004
   13.41777802    1.65699995    2.75600004
   13.41944504    1.63800001    2.75600004
   13.42111111    1.65699995    2.73699999
   13.42277813    1.67700005    2.73699999
   13.42444515    1.67700005    2.75600004
   13.42611122    1.65699995    2.73699999
   13.42777824    1.65699995    2.73699999
   13.43000031    1.63800001    2.75600004
   13.43166733    1.61899996    2.75600004
   13.43333340    1.61899996    2.75600004
   13.43500042    1.60000002    2.75600004
   13.43666649    1.60000002    2.75600004
   13.43833351    1.60000002    2.75600004
   13.43972206    1.60000002    2.75600004
   13.44138908    1.58000004    2.75600004
   13.44305515    1.58000004    2.75600004
   13.44472218    1.60000002    2.75600004
   13.44638920    1.61899996    2.75600004
   13.44722271    1.61899996    2.75600004
   13.44888878    1.61899996    2.73699999
   13.45055580    1.61899996    2.75600004
   13.45222187    1.61899996    2.75600004
   13.45388889    1.61899996    2.75600004
   13.45555496    1.61899996    2.75600004
   13.45722198    1.60000002    2.75600004
   13.45888901    1.60000002    2.75600004
   13.46027756    1.60000002    2.75600004
   13.46194458    1.60000002    2.75600004
   13.46361065    1.58000004    2.75600004
   13.46527767    1.58000004    2.75600004
   13.46694374    1.58000004    2.75600004
   13.46861076    1.56099999    2.75600004
   13.47027779    1.56099999    2.75600004
   13.47194386    1.58000004    2.75600004
   13.47361088    1.58000004    2.75600004
   13.47527695    1.60000002    2.75600004
   13.47694397    1.61899996    2.75600004
   13.47833252    1.61899996    2.75600004
   13.47999954    1.61899996    2.75600004
   13.48166656    1.61899996    2.75600004
   13.48333359    1.63800001    2.75600004
   13.48500061    1.63800001    2.75600004
   13.48666668    1.63800001    2.77500010
   13.48833370    1.63800001    2.75600004
   13.49000072    1.63800001    2.75600004
   13.49138927    1.63800001    2.77500010
   13.49305534    1.61899996    2.77500010
   13.49472237    1.61899996    2.75600004
   13.49638939    1.61899996    2.77500010
   13.49805546    1.63800001    2.75600004
   13.49972248    1.65699995    2.75600004
   13.50138855    1.67700005    2.75600004
   13.50305557    1.67700005    2.75600004
   13.50472260    1.67700005    2.75600004
   13.50611115    1.67700005    2.77500010
   13.50777817    1.67700005    2.75600004
   13.50944424    1.67700005    2.77500010
   13.51111126    1.69599998    2.75600004
   13.51277733    1.69599998    2.75600004
   13.51444435    1.69599998    2.75600004
   13.51611137    1.71500003    2.75600004
   13.51777744    1.71500003    2.75600004
   13.51944447    1.71500003    2.75600004
   13.52111053    1.71500003    2.77500010
   13.52250004    1.71500003    2.75600004
   13.52416611    1.73399997    2.75600004
   13.52583313    1.73399997    2.75600004
   13.52750015    1.73399997    2.75600004
   13.52916622    1.73399997    2.75600004
   13.53083324    1.73399997    2.75600004
   13.53249931    1.73399997    2.75600004
   13.53416729    1.73399997    2.75600004
   13.53555584    1.73399997    2.75600004
   13.53722286    1.73399997    2.75600004
   13.53805637    1.73399997    2.75600004
