    HOUR (UT)     SKY TESTER    SUN TESTER
   13.24499989    0.86699998    0.01900000
   13.24666691    0.40400001    0.03800000
   13.24833393    0.15400000    0.05700000
   13.25000000    0.15400000    0.09600000
   13.25166702    0.15400000    0.15400000
   13.25333309    0.15400000    0.17299999
   13.25500011    0.15400000    0.21200000
   13.25666714    0.15400000    0.21200000
   13.25833321    0.15400000    0.21200000
   13.26000023    0.15400000    0.21200000
   13.26166630    0.15400000    0.21200000
   13.26305580    0.15400000    0.21200000
   13.26472187    0.15400000    0.21200000
   13.26638889    0.15400000    0.21200000
   13.26805496    0.15400000    0.21200000
   13.26972198    0.15400000    0.21200000
   13.27138901    0.15400000    0.21200000
   13.27305508    0.15400000    0.21200000
   13.27472210    0.15400000    0.21200000
   13.27638817    0.15400000    0.21200000
   13.27805519    0.15400000    0.21200000
   13.27944374    0.15400000    0.21200000
   13.28111076    0.15400000    0.21200000
   13.28277779    0.15400000    0.21200000
   13.28444481    0.15400000    0.21200000
   13.28611183    0.15400000    0.21200000
   13.28777790    0.15400000    0.21200000
   13.28944492    0.15400000    0.21200000
   13.29111195    0.15400000    0.21200000
   13.29277802    0.15400000    0.21200000
   13.29444504    0.15400000    0.21200000
   13.29583359    0.15400000    0.21200000
   13.29750061    0.15400000    0.21200000
   13.29916668    0.15400000    0.21200000
   13.30083370    0.15400000    0.21200000
   13.30249977    4.91499996    2.89100003
   13.30416679    4.91499996    2.87199998
   13.30583382    4.91499996    2.85299993
   13.30749989    4.91499996    2.85299993
   13.30916691    4.91499996    2.85299993
   13.31083393    4.91499996    2.87199998
   13.31222248    4.91499996    2.87199998
   13.31388950    4.91499996    2.85299993
   13.31555557    1.58000004    2.83299994
   13.31722260    1.56099999    2.85299993
   13.31888866    1.54200006    2.83299994
   13.32055569    1.54200006    2.83299994
   13.32222176    1.54200006    2.83299994
   13.32250023    1.54200006    2.85299993
   13.32416630    1.54200006    2.83299994
   13.32583332    1.54200006    2.85299993
   13.32750034    1.52199996    2.83299994
   13.32916641    1.54200006    2.83299994
   13.32972240    1.54200006    2.83299994
   13.33027744    1.54200006    2.83299994
   13.33111095    1.52199996    2.83299994
   13.33166695    1.52199996    2.83299994
   13.33222198    1.54200006    2.83299994
   13.33277798    1.52199996    2.83299994
   13.33333302    1.52199996    2.83299994
   13.33388901    1.52199996    2.83299994
   13.33444405    1.52199996    2.83299994
   13.33500004    1.54200006    2.83299994
   13.33555508    1.52199996    2.83299994
   13.33611107    1.52199996    2.83299994
   13.33694458    1.52199996    2.83299994
   13.33749962    1.54200006    2.83299994
   13.33805561    1.54200006    2.83299994
   13.33861065    1.54200006    2.83299994
   13.33916664    1.56099999    2.83299994
   13.33972168    1.54200006    2.83299994
   13.34138870    1.54200006    2.83299994
   13.34222221    1.54200006    2.83299994
   13.34305477    1.54200006    2.83299994
   13.34361076    1.54200006    2.83299994
   13.34444427    1.54200006    2.83299994
   13.34499931    1.56099999    2.83299994
   13.34583282    1.54200006    2.83299994
   13.34666634    1.54200006    2.83299994
   13.34722233    1.54200006    2.83299994
   13.34805489    1.56099999    2.83299994
   13.34861088    1.54200006    2.83299994
   13.34944439    1.54200006    2.83299994
   13.35027790    1.56099999    2.83299994
   13.35083389    1.54200006    2.85299993
   13.35166740    1.56099999    2.85299993
   13.35249996    1.56099999    2.83299994
   13.35305595    1.65699995    2.81399989
   13.35388947    1.58000004    2.83299994
   13.35444450    1.56099999    2.83299994
   13.35527802    1.56099999    2.83299994
   13.35611153    1.56099999    2.83299994
   13.35666752    1.54200006    2.83299994
   13.35750008    1.56099999    2.83299994
   13.35805607    1.54200006    2.83299994
   13.35888958    1.54200006    2.83299994
   13.35972214    1.56099999    2.83299994
   13.36222267    1.54200006    2.85299993
   13.36444473    1.56099999    2.85299993
   13.36500072    1.56099999    2.85299993
   13.36527824    1.54200006    2.83299994
   13.36583328    1.56099999    2.83299994
   13.36611176    1.56099999    2.83299994
   13.36666679    1.56099999    2.85299993
   13.36722279    1.54200006    2.83299994
   13.36999989    1.54200006    2.85299993
   13.37500000    1.54200006    2.83299994
   13.37527752    1.54200006    2.85299993
   13.37777805    1.54200006    2.85299993
   13.38000011    1.54200006    2.85299993
   13.38055611    1.60000002    2.85299993
   13.38305569    1.52199996    2.85299993
   13.38916683    1.52199996    2.85299993
   13.39111137    1.54200006    2.85299993
   13.39166641    1.52199996    2.85299993
   13.39222240    1.52199996    2.85299993
   13.39249992    1.52199996    2.85299993
   13.39305496    1.54200006    2.85299993
   13.39333344    1.52199996    2.83299994
   13.39388847    1.54200006    2.85299993
   13.39444447    1.54200006    2.85299993
   13.39472198    1.54200006    2.85299993
   13.39527798    1.52199996    2.83299994
   13.39555550    1.52199996    2.85299993
   13.39611053    1.52199996    2.85299993
   13.39638901    1.54200006    2.85299993
   13.39694405    1.54200006    2.85299993
   13.39750004    1.52199996    2.83299994
