    HOUR (UT)     SKY TESTER    SUN TESTER
   11.76361084    0.84799999    0.28900000
   11.76444435    0.86699998    0.30800000
   11.76555538    0.86699998    0.30800000
   11.76638889    0.84799999    0.30800000
   11.76722240    0.84799999    0.30800000
   11.76805496    0.84799999    0.30800000
   11.76888847    0.84799999    0.30800000
   11.76972198    0.84799999    0.28900000
   11.77055550    0.86699998    0.30800000
   11.77138901    0.84799999    0.28900000
   11.77222157    0.84799999    0.28900000
   11.77305508    0.84799999    0.30800000
   11.77388859    4.91499996    2.25500011
   11.77472210    2.10100007    2.15899992
   11.77583313    1.98500001    2.13899994
   11.77694416    1.96599996    2.13899994
   11.77750015    1.96599996    2.13899994
   11.77805519    1.96599996    2.15899992
   11.77861118    1.96599996    2.13899994
   11.77916622    1.96599996    2.15899992
   11.77999973    1.96599996    2.13899994
   11.78055573    1.96599996    2.13899994
   11.78222179    1.96599996    2.15899992
   11.78305531    1.96599996    2.13899994
   11.78361130    1.96599996    2.15899992
   11.78444481    1.96599996    2.15899992
   11.78527832    1.96599996    2.15899992
   11.78611183    1.96599996    2.15899992
   11.78666687    1.96599996    2.13899994
   11.78750038    1.96599996    2.15899992
   11.78833389    1.96599996    2.15899992
   11.78916740    1.96599996    2.15899992
   11.78972244    1.96599996    2.15899992
   11.79055595    1.98500001    2.15899992
   11.79138947    1.98500001    2.15899992
   11.79194450    1.98500001    2.15899992
   11.79277802    1.98500001    2.15899992
   11.79361153    1.98500001    2.17799997
   11.79666710    1.98500001    2.17799997
   11.79722309    1.96599996    2.17799997
   11.79805565    1.96599996    2.17799997
   11.79888916    1.96599996    2.15899992
   11.79972267    1.98500001    2.15899992
   11.80027771    1.96599996    2.17799997
   11.80111122    1.96599996    2.17799997
   11.80194473    1.96599996    2.17799997
   11.80249977    1.96599996    2.17799997
   11.80333328    1.96599996    2.17799997
   11.80416679    1.96599996    2.17799997
   11.80500031    1.96599996    2.17799997
   11.80555534    1.96599996    2.17799997
   11.80638885    1.94700003    2.17799997
   11.80694485    1.96599996    2.15899992
   11.80777836    1.94700003    2.17799997
   11.80861092    1.94700003    2.17799997
   11.80916691    1.94700003    2.17799997
   11.81000042    1.94700003    2.17799997
   11.81083393    1.94700003    2.17799997
   11.81111145    1.94700003    2.17799997
   11.81333351    1.94700003    2.17799997
   11.81388950    1.94700003    2.17799997
   11.81416702    1.94700003    2.17799997
   11.81472206    1.94700003    2.17799997
   11.81527805    1.94700003    2.17799997
   11.81750011    1.94700003    2.17799997
   11.82194424    1.94700003    2.17799997
   11.82666683    1.92700005    2.17799997
   11.83027744    1.92700005    2.17799997
   11.83388901    1.92700005    2.19700003
   11.83777714    1.92700005    2.17799997
   11.84138870    1.92700005    2.17799997
   11.84333324    1.90799999    2.19700003
   11.84749985    1.90799999    2.17799997
   11.85166740    1.90799999    2.17799997
   11.85611153    1.90799999    2.19700003
   11.85833359    1.90799999    2.19700003
   11.85888958    1.90799999    2.19700003
   11.85944462    1.88900006    2.19700003
   11.85972214    1.88900006    2.19700003
   11.86222267    1.88900006    2.19700003
   11.86666679    1.88900006    2.19700003
   11.87083340    1.88900006    2.19700003
   11.87138939    1.90799999    2.19700003
   11.87222195    1.90799999    2.19700003
   11.87277794    1.90799999    2.19700003
   11.87361145    1.88900006    2.21600008
   11.87416649    1.88900006    2.21600008
   11.87500000    1.88900006    2.19700003
   11.87583351    1.88900006    2.19700003
   11.87861156    1.88900006    2.21600008
   11.87944412    1.88900006    2.19700003
   11.88027763    1.88900006    2.19700003
   11.88111115    1.88900006    2.19700003
   11.88166714    1.88900006    2.21600008
   11.88249969    1.86899996    2.19700003
   11.88277817    1.88900006    2.19700003
   11.88527775    1.86899996    2.21600008
   11.88555527    1.86899996    2.19700003
   11.88611126    1.86899996    2.19700003
   11.88666630    1.86899996    2.19700003
   11.88722229    1.86899996    2.19700003
   11.88916683    1.86899996    2.19700003
   11.89499950    1.85000002    2.19700003
   11.89888859    1.85000002    2.21600008
   11.90249920    1.83099997    2.21600008
   11.90611076    1.83099997    2.21600008
   11.91027737    1.81200004    2.23600006
   11.91388893    1.81200004    2.21600008
   11.91750050    1.81200004    2.23600006
   11.92138958    1.79200006    2.23600006
   11.92583370    1.79200006    2.23600006
   11.92833328    1.79200006    2.23600006
   11.92861176    1.79200006    2.23600006
   11.92916679    1.79200006    2.23600006
   11.92972279    1.79200006    2.23600006
   11.93194485    1.79200006    2.23600006
   11.93638897    1.79200006    2.23600006
   11.94055557    1.77300000    2.23600006
   11.94111156    1.77300000    2.23600006
   11.94194412    1.79200006    2.23600006
   11.94277763    1.79200006    2.25500011
   11.94333363    1.77300000    2.23600006
   11.94416714    1.79200006    2.25500011
   11.94499969    1.77300000    2.25500011
   11.94777775    1.77300000    2.25500011
   11.94861126    1.79200006    2.25500011
   11.94916630    1.77300000    2.25500011
   11.94999981    1.77300000    2.25500011
   11.95055580    1.77300000    2.25500011
   11.95138836    1.77300000    2.25500011
   11.95222187    1.77300000    2.25500011
   11.95277786    1.77300000    2.25500011
   11.95361137    1.77300000    2.25500011
