    HOUR (UT)     SKY TESTER    SUN TESTER
   10.79638958    4.91499996    0.01900000
   10.79750061    4.91499996    0.01900000
   10.79861164    4.91499996    0.03800000
   10.79972267    4.91499996    0.05700000
   10.80055618    4.91499996    0.09600000
   10.80166721    4.91499996    0.11500000
   10.80249977    4.91499996    0.15400000
   10.80361176    4.91499996    0.17299999
   10.80472279    4.91499996    0.21200000
   10.80555534    4.91499996    0.23100001
   10.80666733    4.91499996    0.26899999
   10.80777836    4.91499996    0.30800000
   10.80888939    0.42399999    0.34599999
   10.80972195    0.42399999    0.38499999
   10.81055546    0.44299999    0.40400001
   10.81138897    0.44299999    0.44299999
   10.81222248    0.46200001    0.48100001
   10.81305599    0.48100001    0.50099999
   10.81388950    0.48100001    0.53899997
   10.81472206    0.48100001    0.57800001
   10.81555557    0.50099999    0.61600000
   10.81638908    0.50099999    0.63599998
   10.81722260    0.50099999    0.67400002
   10.81805515    0.51999998    0.71300000
   10.81888866    0.51999998    0.75099999
   10.81972218    0.53899997    0.79000002
   10.82055569    0.53899997    0.80900002
   10.82138920    0.55900002    0.84799999
   10.82222176    0.55900002    0.88599998
   10.82305527    0.57800001    0.92500001
   10.82388878    0.57800001    0.94400001
   10.82472229    0.59700000    0.98299998
   10.82555580    0.59700000    1.02100003
   10.82638836    0.61600000    1.05999994
   10.82722187    0.61600000    1.07900000
   10.82805538    0.63599998    1.11800003
   10.82888889    0.65499997    1.15600002
   10.82972240    0.65499997    1.17499995
   10.83055592    0.67400002    1.21399999
   10.83138847    0.67400002    1.23300004
   10.83222198    0.69300002    1.27199996
   10.83305550    0.71300000    1.30999994
   10.83388901    0.73199999    1.33000004
   10.83472157    0.73199999    1.34899998
   10.83555508    0.75099999    1.36800003
   10.83638859    0.77100003    1.38699996
   10.83722210    0.77100003    1.42600000
   10.83805561    0.79000002    1.44500005
   10.83888817    0.80900002    1.46500003
   10.83972168    0.82800001    1.46500003
   10.84055519    0.84799999    1.48399997
   10.84138870    0.86699998    1.48399997
   10.84222221    0.86699998    1.50300002
   10.84333324    0.88599998    1.50300002
   10.84388828    0.86699998    1.50300002
   10.84444427    0.82800001    1.50300002
   10.84499931    0.77100003    1.50300002
   10.84555531    0.77100003    1.50300002
   10.84611034    0.75099999    1.50300002
   10.84666634    0.75099999    1.50300002
   10.84722233    0.75099999    1.50300002
   10.84777737    0.73199999    1.50300002
   10.84833336    0.75099999    1.50300002
   10.84888840    0.75099999    1.52199996
   10.84944439    0.73199999    1.50300002
   10.85000038    0.73199999    1.50300002
   10.85055637    0.73199999    1.50300002
   10.85111141    0.75099999    1.50300002
   10.85305595    0.75099999    1.52199996
   10.85361195    0.75099999    1.52199996
   10.85444450    0.75099999    1.52199996
   10.85500050    0.75099999    1.52199996
   10.85583401    0.77100003    1.52199996
   10.85666752    0.77100003    1.52199996
   10.85722256    0.77100003    1.52199996
   10.85805607    0.77100003    1.52199996
   10.85888958    0.79000002    1.52199996
   10.85944462    0.77100003    1.52199996
   10.86027813    0.77100003    1.52199996
   10.86333370    0.79000002    1.52199996
   10.86416721    0.79000002    1.54200006
   10.86472225    0.79000002    1.52199996
   10.86555576    0.79000002    1.54200006
   10.86638927    0.80900002    1.54200006
   10.86722279    0.80900002    1.54200006
   10.86777782    0.80900002    1.54200006
   10.86861134    0.80900002    1.54200006
   10.86888885    0.80900002    1.54200006
   10.87083340    0.82800001    1.54200006
   10.87111092    0.82800001    1.54200006
   10.87166691    0.80900002    1.54200006
   10.87222195    0.82800001    1.54200006
   10.87277794    0.82800001    1.54200006
   10.87527752    0.82800001    1.56099999
   10.87555599    0.82800001    1.56099999
   10.87611103    0.82800001    1.56099999
   10.87666702    0.82800001    1.56099999
   10.87694454    0.82800001    1.56099999
   10.87750053    0.82800001    1.56099999
   10.87805557    0.84799999    1.56099999
   10.87861156    0.82800001    1.56099999
   10.87888908    0.82800001    1.56099999
   10.87944412    0.84799999    1.56099999
   10.88138866    0.84799999    1.56099999
   10.88333321    0.84799999    1.56099999
   10.88388920    0.84799999    1.56099999
   10.88444424    0.86699998    1.58000004
   10.88472176    0.84799999    1.58000004
   10.88527775    0.86699998    1.56099999
   10.88583279    0.86699998    1.58000004
   10.88777733    0.86699998    1.58000004
   10.88944435    0.86699998    1.58000004
   10.89000034    0.86699998    1.58000004
   10.89055538    0.86699998    1.58000004
   10.89111137    0.88599998    1.58000004
   10.89138889    0.86699998    1.58000004
   10.89194393    0.88599998    1.60000002
   10.89472198    0.88599998    1.60000002
   10.89833355    0.90600002    1.60000002
   10.89888859    0.90600002    1.60000002
   10.89944458    0.90600002    1.60000002
   10.89972210    0.88599998    1.60000002
   10.90222168    0.90600002    1.60000002
   10.90416622    0.90600002    1.60000002
   10.90472221    0.90600002    1.60000002
   10.90527725    0.90600002    1.60000002
   10.90583324    0.92500001    1.60000002
   10.90611076    0.90600002    1.60000002
   10.90666676    0.90600002    1.61899996
   10.90916634    0.92500001    1.61899996
   10.91472149    0.94400001    1.61899996
   10.91666698    0.94400001    1.63800001
   10.91722298    0.94400001    1.63800001
   10.91777802    0.94400001    1.61899996
   10.91805553    0.94400001    1.61899996
   10.91861153    0.94400001    1.63800001
   10.91916656    0.96300000    1.63800001
   10.91972256    0.94400001    1.61899996
   10.92000008    0.96300000    1.63800001
   10.92055607    0.94400001    1.63800001
   10.92111111    0.94400001    1.63800001
   10.92138958    0.96300000    1.63800001
   10.92194462    0.94400001    1.63800001
   10.92250061    0.96300000    1.63800001
   10.92277813    0.96300000    1.63800001
   10.92333412    0.96300000    1.63800001
   10.92388916    0.96300000    1.63800001
   10.92444515    0.96300000    1.63800001
   10.92472267    0.96300000    1.63800001
   10.92555618    0.96300000    1.65699995
   10.92583370    0.96300000    1.63800001
   10.92666721    0.96300000    1.65699995
   10.92694473    0.96300000    1.63800001
   10.92750072    0.98299998    1.63800001
   10.92805576    0.96300000    1.63800001
   10.92861176    0.98299998    1.63800001
   10.92916679    0.98299998    1.65699995
   10.92972279    0.96300000    1.65699995
   10.93000031    0.98299998    1.65699995
   10.93055630    0.98299998    1.65699995
   10.93083382    0.98299998    1.63800001
   10.93138885    0.98299998    1.65699995
   10.93166733    0.98299998    1.65699995
   10.93222237    0.98299998    1.65699995
   10.93277836    0.98299998    1.65699995
   10.93333340    0.98299998    1.65699995
   10.93388939    0.98299998    1.65699995
   10.93416691    1.00199997    1.65699995
   10.93472195    0.98299998    1.65699995
   10.93500042    1.00199997    1.65699995
   10.93555546    0.98299998    1.65699995
   10.93611145    0.98299998    1.65699995
   10.93638897    1.00199997    1.67700005
   10.93694496    1.00199997    1.67700005
   10.93750000    1.00199997    1.65699995
   10.93805599    0.98299998    1.65699995
   10.93861103    0.98299998    1.65699995
   10.93916702    0.98299998    1.65699995
   10.93944454    0.98299998    1.65699995
   10.94000053    1.00199997    1.67700005
   10.94250011    1.00199997    1.67700005
   10.94444466    1.00199997    1.67700005
   10.94499969    1.00199997    1.67700005
   10.94527817    1.00199997    1.67700005
   10.94583321    1.00199997    1.67700005
   10.94611073    1.00199997    1.67700005
   10.94666672    1.02100003    1.67700005
   10.94722271    1.00199997    1.67700005
   10.94777775    1.00199997    1.67700005
   10.94833374    1.00199997    1.67700005
   10.95166683    1.02100003    1.67700005
   10.95361137    1.02100003    1.67700005
   10.95416641    1.02100003    1.69599998
   10.95444393    1.00199997    1.67700005
   10.95527744    1.02100003    1.67700005
   10.95583344    1.02100003    1.67700005
   10.95638847    1.02100003    1.69599998
   10.95833302    1.02100003    1.69599998
   10.96000004    1.02100003    1.69599998
   10.96055508    1.02100003    1.69599998
   10.96111107    1.02100003    1.69599998
   10.96138859    1.02100003    1.69599998
   10.96194458    1.02100003    1.69599998
   10.96249962    1.02100003    1.69599998
   10.96444416    1.02100003    1.69599998
   10.96638870    1.02100003    1.69599998
   10.96666622    1.02100003    1.69599998
   10.96722221    1.03999996    1.69599998
   10.96777725    1.02100003    1.69599998
   10.96833324    1.03999996    1.69599998
   10.96888828    1.02100003    1.69599998
   10.97138882    1.03999996    1.71500003
   10.97527695    1.03999996    1.71500003
   10.97722149    1.03999996    1.71500003
   10.97777748    1.03999996    1.71500003
   10.97833252    1.03999996    1.71500003
   10.97861099    1.03999996    1.71500003
   10.97916603    1.03999996    1.71500003
   10.97972202    1.03999996    1.71500003
   10.98222160    1.03999996    1.71500003
   10.98611164    1.03999996    1.71500003
   10.98694515    1.03999996    1.73399997
   10.98722267    1.03999996    1.75399995
   10.98972225    1.03999996    1.75399995
   10.99027824    1.03999996    1.75399995
   10.99055576    1.05999994    1.75399995
   10.99111176    1.03999996    1.73399997
   10.99166679    1.03999996    1.75399995
   10.99222279    1.03999996    1.75399995
   10.99277782    1.03999996    1.75399995
   10.99333382    1.03999996    1.73399997
   10.99361134    1.03999996    1.75399995
   10.99416733    1.03999996    1.75399995
   10.99611092    1.05999994    1.75399995
   10.99805546    1.03999996    1.75399995
   10.99861145    1.03999996    1.75399995
   10.99916649    1.03999996    1.75399995
   10.99972248    1.03999996    1.75399995
   11.00000000    1.03999996    1.75399995
   11.00055599    1.03999996    1.75399995
   11.00249958    1.03999996    1.75399995
   11.00444412    1.03999996    1.75399995
   11.00500011    1.03999996    1.75399995
   11.00555515    1.03999996    1.77300000
   11.00611115    1.03999996    1.77300000
   11.00666714    1.03999996    1.77300000
