    HOUR (UT)     SKY TESTER    SUN TESTER
   13.74888897    1.65699995    0.01900000
   13.74944496    1.73399997    0.01900000
   13.75000000    1.81200004    0.01900000
   13.75055599    1.85000002    0.01900000
   13.75111103    1.90799999    0.03800000
   13.75138855    1.92700005    0.05700000
   13.75194454    1.98500001    0.07700000
   13.75249958    2.08100009    0.09600000
   13.75305557    2.15899992    0.11500000
   13.75361156    2.19700003    0.13400000
   13.75416660    2.21600008    0.15400000
   13.75472260    2.29399991    0.17299999
   13.75527763    2.40899992    0.21200000
   13.75555515    2.58299994    0.23100001
   13.75611115    2.71799994    0.25000000
   13.75666714    2.96799994    0.26899999
   13.75722218    3.16100001    0.28900000
   13.75777817    3.41199994    0.32699999
   13.75833321    3.73900008    0.38499999
   13.75888920    4.06699991    0.44299999
   13.75944424    4.43300009    0.48100001
   13.75972176    4.89599991    0.48100001
   13.76027775    4.91499996    0.42399999
   13.76083374    4.91499996    0.94400001
   13.76138878    4.91499996    1.42600000
   13.76194477    4.91499996    0.48100001
   13.76249981    4.91499996    0.32699999
   13.76305580    4.91499996    0.84799999
   13.76361084    4.91499996    1.48399997
   13.76416683    4.91499996    1.54200006
   13.76444435    4.91499996    1.56099999
   13.76500034    4.91499996    1.54200006
   13.76555538    4.91499996    1.46500003
   13.76611137    4.91499996    1.38699996
   13.76666641    4.91499996    1.38699996
   13.76722240    4.91499996    1.46500003
   13.76777744    4.91499996    1.48399997
   13.76833344    4.91499996    1.42600000
   13.76888847    4.91499996    1.34899998
   13.76944447    4.91499996    1.29100001
   13.76999950    4.91499996    1.25300002
   13.77055550    4.91499996    1.19500005
   13.77111053    4.91499996    1.23300004
   13.77166653    4.91499996    1.29100001
   13.77222157    4.91499996    1.33000004
   13.77277756    4.91499996    1.30999994
   13.77333355    4.91499996    1.25300002
   13.77388859    4.91499996    1.21399999
   13.77444458    4.91499996    1.17499995
   13.77499962    4.91499996    1.17499995
   13.77555561    4.91499996    1.21399999
   13.77611065    4.91499996    1.23300004
   13.77666664    4.91499996    1.13699996
   13.77722168    4.91499996    1.02100003
   13.77777767    4.91499996    0.90600002
   13.77833271    4.91499996    0.84799999
   13.77861118    4.91499996    0.84799999
   13.77916622    4.91499996    0.98299998
   13.77972221    4.91499996    1.07900000
   13.78027725    4.91499996    1.09800005
   13.78083324    4.91499996    1.23300004
   13.78138828    4.91499996    1.34899998
   13.78194427    4.91499996    1.38699996
   13.78305531    4.91499996    1.25300002
   13.78361130    4.91499996    1.21399999
   13.78472233    4.91499996    1.23300004
   13.78555584    4.91499996    1.48399997
   13.78666687    4.91499996    1.50300002
   13.78750038    4.91499996    1.44500005
   13.78861141    4.91499996    1.54200006
   13.78944492    4.91499996    1.61899996
   13.79055595    4.91499996    1.71500003
   13.79138947    4.91499996    1.75399995
   13.79250050    4.91499996    1.67700005
   13.79361153    4.91499996    1.85000002
   13.79444504    4.91499996    1.92700005
   13.79555607    4.91499996    2.02399993
   13.79638958    4.91499996    2.02399993
   13.79750061    4.91499996    2.04299998
   13.79861164    4.91499996    2.04299998
   13.79944515    4.91499996    2.00399995
   13.80055618    4.91499996    2.02399993
   13.80138874    4.91499996    1.86899996
   13.80249977    4.91499996    1.75399995
   13.80333328    4.91499996    1.75399995
   13.80444431    4.91499996    1.61899996
   13.80555534    4.91499996    1.44500005
   13.80638885    4.91499996    1.27199996
   13.80749989    4.91499996    1.23300004
   13.80833340    4.91499996    1.25300002
   13.80944443    4.91499996    1.30999994
   13.81027794    4.91499996    1.38699996
   13.81138897    4.91499996    1.38699996
   13.81250000    4.91499996    1.52199996
   13.81333351    4.91499996    1.67700005
   13.81444454    4.91499996    1.63800001
   13.81527805    4.91499996    1.65699995
   13.81638908    4.91499996    1.71500003
   13.81722260    4.91499996    1.73399997
   13.81833363    4.91499996    1.77300000
   13.81944466    4.91499996    1.85000002
   13.82027817    4.91499996    1.83099997
   13.82138920    4.91499996    1.79200006
   13.82222176    4.91499996    1.81200004
   13.82333374    4.91499996    1.77300000
   13.82416630    4.91499996    1.67700005
   13.82527733    4.91499996    1.67700005
   13.82638836    4.91499996    1.69599998
   13.82722187    4.91499996    1.81200004
   13.82833290    4.91499996    1.90799999
   13.82916641    4.91499996    1.86899996
   13.83027744    4.91499996    1.85000002
   13.83138847    4.91499996    1.81200004
   13.83222198    4.91499996    1.83099997
   13.83333302    4.91499996    1.85000002
   13.83416653    4.91499996    1.90799999
   13.83527756    4.91499996    1.94700003
   13.83611107    4.91499996    1.96599996
   13.83722210    4.91499996    2.00399995
   13.83833313    4.91499996    2.06200004
   13.83916664    4.91499996    2.02399993
   13.84027767    4.91499996    2.02399993
   13.84138870    4.91499996    2.06200004
   13.84222221    4.91499996    2.04299998
   13.84333324    4.91499996    2.06200004
   13.84416676    4.91499996    2.06200004
   13.84527779    4.91499996    2.10100007
   13.84611034    4.91499996    2.13899994
   13.84722233    4.91499996    2.17799997
   13.84833336    4.91499996    2.13899994
   13.84916592    4.91499996    2.15899992
   13.85027790    4.91499996    2.13899994
   13.85111141    4.91499996    2.13899994
   13.85222244    4.91499996    2.11999989
   13.85333347    4.91499996    2.21600008
   13.85416698    4.91499996    2.25500011
   13.85527802    4.91499996    2.23600006
   13.85611153    4.91499996    2.25500011
   13.85722256    4.91499996    2.17799997
   13.85805607    4.91499996    2.19700003
   13.85916710    4.91499996    2.21600008
   13.86027813    4.91499996    2.19700003
   13.86111164    4.91499996    2.17799997
   13.86222267    4.91499996    2.23600006
   13.86305618    4.91499996    2.25500011
   13.86416721    4.91499996    2.17799997
   13.86500072    4.91499996    2.13899994
   13.86611176    4.91499996    2.21600008
   13.86722279    4.91499996    2.29399991
   13.86805534    4.91499996    2.29399991
   13.86916637    4.91499996    2.23600006
   13.86999989    4.91499996    2.31299996
   13.87111092    4.91499996    2.31299996
   13.87194443    4.91499996    2.33200002
   13.87305546    4.91499996    2.29399991
   13.87416649    4.91499996    2.29399991
   13.87500000    4.91499996    2.33200002
   13.87611103    4.91499996    2.39000010
   13.87694454    4.91499996    2.39000010
   13.87805557    4.91499996    2.35100007
   13.87888908    4.91499996    2.37100005
   13.88000011    4.91499996    2.39000010
   13.88111115    4.91499996    2.42799997
   13.88194466    4.91499996    2.40899992
   13.88305569    4.91499996    2.39000010
   13.88388920    4.91499996    2.39000010
   13.88500023    4.91499996    2.37100005
   13.88583279    4.91499996    2.39000010
   13.88694477    4.91499996    2.39000010
   13.88805580    4.91499996    2.40899992
   13.88888836    4.91499996    2.39000010
   13.89000034    4.91499996    2.39000010
   13.89083290    4.91499996    2.40899992
   13.89194393    4.89599991    2.40899992
   13.89305496    4.83799982    2.40899992
   13.89388847    4.72200012    2.37100005
   13.89499950    4.62599993    2.39000010
   13.89583302    4.49100018    2.39000010
   13.89694405    4.29799986    2.39000010
   13.89805508    4.12500000    2.39000010
   13.89888859    3.97099996    2.40899992
   13.89999962    3.83599997    2.44799995
   13.90083313    3.66199994    2.42799997
   13.90194416    3.43099999    2.44799995
   13.90277767    3.23799992    2.44799995
   13.90388870    3.14199996    2.44799995
   13.90499973    3.06500006    2.46700001
   13.90583324    3.00699997    2.46700001
   13.90694427    3.02600002    2.46700001
   13.90777779    3.10299993    2.46700001
   13.90888882    3.25699997    2.46700001
   13.90999985    3.46900010    2.44799995
   13.91083336    3.81599998    2.44799995
   13.91194439    4.27899981    2.40899992
   13.91277695    4.78000021    2.39000010
   13.91388893    4.91499996    2.40899992
   13.91499996    4.91499996    2.40899992
   13.91583252    4.91499996    2.40899992
   13.91694450    4.91499996    2.39000010
   13.91777802    4.91499996    2.35100007
   13.91888905    4.91499996    2.25500011
   13.91972256    4.91499996    2.23600006
   13.92083359    4.91499996    2.23600006
   13.92194462    4.91499996    2.25500011
   13.92277813    4.91499996    2.27399993
   13.92388916    4.91499996    2.29399991
   13.92472267    4.91499996    2.31299996
   13.92583370    4.91499996    2.29399991
   13.92666721    4.91499996    2.31299996
   13.92777824    4.91499996    2.33200002
   13.92888927    4.91499996    2.33200002
   13.92972279    4.91499996    2.31299996
   13.93083382    4.91499996    2.31299996
   13.93166733    4.91499996    2.31299996
   13.93277836    4.91499996    2.31299996
   13.93388939    4.91499996    2.33200002
   13.93472195    4.91499996    2.39000010
   13.93583298    4.91499996    2.44799995
   13.93666649    4.85699987    2.40899992
   13.93777752    4.47200012    2.40899992
   13.93861103    4.16300011    2.40899992
   13.93972206    3.99000001    2.44799995
   13.94083309    3.81599998    2.44799995
   13.94166660    3.54699993    2.44799995
   13.94277763    3.25699997    2.46700001
   13.94361115    3.00699997    2.46700001
   13.94472218    2.77500010    2.46700001
   13.94583321    2.60200000    2.48600006
   13.94666672    2.46700001    2.46700001
   13.94777775    2.29399991    2.48600006
   13.94861126    2.23600006    2.48600006
   13.94944477    2.27399993    2.48600006
   13.95027733    2.37100005    2.44799995
   13.95111084    2.48600006    2.44799995
   13.95194435    2.60200000    2.44799995
   13.95305538    2.77500010    2.42799997
   13.95416641    2.96799994    2.42799997
   13.95499992    3.10299993    2.42799997
   13.95611095    3.18000007    2.46700001
   13.95694447    3.18000007    2.46700001
   13.95805550    3.08400011    2.46700001
   13.95916653    3.08400011    2.46700001
   13.96000004    3.21900010    2.44799995
   13.96111107    3.46900010    2.44799995
   13.96194458    3.75900006    2.46700001
   13.96305561    4.00899982    2.44799995
   13.96388912    4.27899981    2.40899992
   13.96500015    4.62599993    2.42799997
   13.96611118    4.91499996    2.42799997
   13.96694374    4.91499996    2.42799997
   13.96805477    4.91499996    2.42799997
   13.96888828    4.91499996    2.42799997
   13.96999931    4.91499996    2.40899992
   13.97111034    4.91499996    2.33200002
   13.97194386    4.91499996    2.25500011
   13.97305489    4.91499996    2.19700003
   13.97388840    4.91499996    2.17799997
   13.97499943    4.91499996    2.17799997
   13.97583294    4.91499996    2.21600008
   13.97694397    4.91499996    2.31299996
   13.97805500    4.91499996    2.29399991
   13.97888851    4.91499996    2.17799997
   13.97999954    4.91499996    2.08100009
   13.98083305    4.91499996    2.10100007
   13.98194408    4.91499996    2.21600008
   13.98277760    4.91499996    2.23600006
   13.98388958    4.91499996    2.27399993
   13.98500061    4.91499996    2.25500011
   13.98583317    4.91499996    2.27399993
   13.98694515    4.91499996    2.25500011
   13.98805618    4.91499996    2.27399993
   13.98888874    4.91499996    2.35100007
   13.99000072    4.91499996    2.27399993
   13.99083328    4.91499996    2.21600008
   13.99194431    4.91499996    2.15899992
   13.99305534    4.91499996    2.17799997
   13.99388885    4.91499996    2.17799997
   13.99499989    4.91499996    2.11999989
   13.99583340    4.91499996    2.13899994
   13.99694443    4.91499996    2.15899992
   13.99805546    4.91499996    2.11999989
   13.99888897    4.91499996    2.15899992
   14.00000000    4.91499996    2.11999989
   14.00083351    4.91499996    2.06200004
   14.00194454    4.91499996    2.06200004
   14.00277805    4.91499996    2.08100009
   14.00388908    4.91499996    2.10100007
   14.00500011    4.91499996    2.11999989
   14.00583363    4.91499996    2.13899994
   14.00694466    4.91499996    2.11999989
   14.00805569    4.91499996    2.15899992
   14.00888920    4.91499996    2.15899992
   14.01000023    4.91499996    2.15899992
   14.01083374    4.91499996    2.11999989
   14.01194477    4.91499996    2.06200004
   14.01277733    4.91499996    2.04299998
   14.01388931    4.91499996    2.04299998
   14.01500034    4.91499996    1.98500001
   14.01583290    4.91499996    2.00399995
   14.01694393    4.91499996    2.04299998
   14.01777744    4.91499996    2.06200004
   14.01888847    4.91499996    2.04299998
   14.01972198    4.91499996    2.02399993
   14.02083302    4.91499996    1.98500001
   14.02166653    4.91499996    1.92700005
   14.02277756    4.91499996    1.83099997
   14.02388859    4.91499996    1.79200006
   14.02472210    4.91499996    1.86899996
   14.02583313    4.91499996    1.85000002
   14.02638817    4.91499996    1.71500003
   14.02750015    4.91499996    1.90799999
   14.02833271    4.91499996    1.92700005
   14.02944374    4.91499996    1.83099997
   14.03055573    4.91499996    1.85000002
   14.03138828    4.91499996    1.79200006
   14.03249931    4.91499996    1.88900006
   14.03333378    4.91499996    1.94700003
   14.03444481    4.91499996    2.06200004
   14.03527832    4.91499996    2.08100009
   14.04472256    4.91499996    2.13899994
   14.04583359    4.91499996    2.13899994
   14.04694462    4.91499996    2.23600006
   14.04777813    4.91499996    2.27399993
   14.04888916    4.91499996    2.27399993
   14.04972267    4.91499996    2.25500011
   14.05083370    4.91499996    2.25500011
   14.05194473    4.91499996    2.25500011
   14.05277824    4.91499996    2.19700003
   14.05388927    4.91499996    2.23600006
   14.05472279    4.91499996    2.27399993
   14.05583382    4.91499996    2.25500011
   14.05666733    4.91499996    2.31299996
   14.05777836    4.91499996    2.40899992
   14.05888939    4.91499996    2.39000010
   14.05972195    4.91499996    2.39000010
   14.06083393    4.91499996    2.40899992
   14.06166649    4.70300007    2.42799997
   14.06277752    4.29799986    2.42799997
   14.06361103    4.00899982    2.44799995
   14.06472206    3.89400005    2.46700001
   14.06583309    3.83599997    2.44799995
   14.06666660    3.75900006    2.44799995
   14.06777763    3.77800012    2.44799995
   14.06861115    3.91300011    2.42799997
   14.06972218    4.06699991    2.42799997
   14.07055569    4.27899981    2.42799997
   14.07166672    4.54899979    2.40899992
   14.07277775    4.76100016    2.39000010
   14.07361126    4.89599991    2.40899992
   14.07472229    4.91499996    2.39000010
   14.07555580    4.91499996    2.39000010
   14.07666683    4.91499996    2.42799997
   14.07777786    4.91499996    2.46700001
   14.07861137    4.91499996    2.46700001
   14.07972240    4.68400002    2.44799995
   14.08055592    4.39499998    2.42799997
   14.08166695    4.27899981    2.46700001
   14.08249950    4.24100018    2.42799997
   14.08361053    4.24100018    2.42799997
   14.08472157    4.29799986    2.42799997
   14.08555508    4.37500000    2.40899992
   14.08666611    4.51000023    2.40899992
   14.08749962    4.66499996    2.33200002
   14.08861065    4.83799982    2.40899992
   14.08944416    4.91499996    2.40899992
   14.09055519    4.91499996    2.39000010
   14.09166622    4.91499996    2.39000010
   14.09249973    4.91499996    2.39000010
   14.09361076    4.91499996    2.29399991
   14.09472179    4.91499996    2.31299996
   14.09555531    4.91499996    2.39000010
   14.09666634    4.91499996    2.44799995
   14.09749985    4.91499996    2.40899992
   14.09861088    4.91499996    2.40899992
   14.09972191    4.91499996    2.39000010
   14.10055637    4.91499996    2.40899992
   14.10166740    4.91499996    2.37100005
   14.10249996    4.91499996    2.44799995
   14.10361195    4.91499996    2.44799995
   14.10444450    4.91499996    2.46700001
   14.10555553    4.91499996    2.42799997
   14.10666752    4.91499996    2.46700001
   14.10750008    4.91499996    2.44799995
   14.10861111    4.91499996    2.46700001
   14.10944462    4.91499996    2.44799995
   14.11055565    4.91499996    2.40899992
   14.11166668    4.91499996    2.42799997
   14.11250019    4.91499996    2.40899992
   14.11361122    4.91499996    2.42799997
   14.11444473    4.91499996    2.42799997
   14.11555576    4.91499996    2.46700001
   14.11666679    4.91499996    2.48600006
   14.11750031    4.91499996    2.46700001
   14.11861134    4.91499996    2.46700001
   14.11944485    4.54899979    2.46700001
   14.12055588    4.04799986    2.48600006
   14.12138939    3.62400007    2.46700001
   14.12250042    3.39199996    2.50600004
   14.12361145    3.23799992    2.48600006
   14.12444496    3.14199996    2.46700001
   14.12555599    3.18000007    2.48600006
   14.12638855    3.31500006    2.46700001
   14.12750053    3.41199994    2.48600006
   14.12861156    3.50799990    2.48600006
   14.12944412    3.56599998    2.46700001
   14.13055611    3.66199994    2.46700001
   14.13138866    3.85500002    2.44799995
   14.13249969    4.16300011    2.40899992
   14.13361073    4.64499998    2.37100005
   14.13444424    4.91499996    2.35100007
   14.13555527    4.91499996    2.31299996
   14.13638878    4.91499996    2.31299996
   14.13749981    4.91499996    2.31299996
   14.13861084    4.91499996    2.31299996
   14.13944435    4.91499996    2.29399991
   14.14055538    4.91499996    2.29399991
   14.14138889    4.91499996    2.25500011
   14.14249992    4.91499996    2.23600006
   14.14333344    4.91499996    2.19700003
   14.14444447    4.91499996    2.23600006
   14.14555550    4.91499996    2.21600008
   14.14638901    4.91499996    2.19700003
   14.14750004    4.91499996    2.37100005
   14.14833355    4.91499996    2.42799997
   14.14944458    4.91499996    2.39000010
   14.15055561    4.91499996    2.40899992
   14.15138817    4.91499996    2.39000010
   14.15249920    4.91499996    2.37100005
   14.15361118    4.91499996    2.33200002
   14.15444374    4.91499996    2.19700003
   14.15555477    4.91499996    2.15899992
   14.15638828    4.91499996    2.11999989
   14.15749931    4.91499996    2.13899994
   14.15833282    4.91499996    2.13899994
   14.15944386    4.91499996    2.15899992
   14.16055489    4.91499996    2.21600008
   14.16138840    4.91499996    2.27399993
   14.16249943    4.91499996    2.31299996
   14.16333294    4.91499996    2.33200002
   14.16444397    4.91499996    2.35100007
   14.16527748    4.91499996    2.37100005
   14.16638851    4.91499996    2.37100005
   14.16750050    4.91499996    2.40899992
   14.16833401    4.91499996    2.40899992
   14.16944504    4.91499996    2.33200002
   14.17027855    4.91499996    2.25500011
   14.17138958    4.91499996    2.21600008
   14.17250061    4.91499996    2.19700003
   14.17333412    4.91499996    2.17799997
   14.17444515    4.91499996    2.19700003
   14.17527771    4.91499996    2.15899992
   14.17638874    4.91499996    2.19700003
   14.17722225    4.91499996    2.25500011
   14.17833328    4.91499996    2.25500011
   14.17916679    4.91499996    2.25500011
   14.18027782    4.91499996    2.15899992
   14.18138885    4.91499996    2.11999989
   14.18222237    4.91499996    2.15899992
   14.18333340    4.91499996    2.17799997
   14.18444443    4.91499996    2.17799997
   14.18527794    4.91499996    2.19700003
   14.18638897    4.91499996    2.13899994
   14.18722248    4.91499996    2.08100009
   14.18833351    4.91499996    2.15899992
   14.18944454    4.91499996    2.13899994
   14.19027805    4.91499996    2.17799997
   14.19138908    4.91499996    2.31299996
   14.19222260    4.91499996    2.29399991
   14.19333363    4.91499996    2.25500011
   14.19416714    4.91499996    2.31299996
   14.19527817    4.91499996    2.31299996
   14.19638920    4.91499996    2.31299996
   14.19722271    4.91499996    2.25500011
   14.19833374    4.91499996    2.21600008
   14.19916630    4.91499996    2.11999989
   14.20027733    4.91499996    2.10100007
   14.20138836    4.91499996    2.06200004
   14.20222187    4.91499996    2.02399993
   14.20333290    4.91499996    1.86899996
   14.20416641    4.91499996    1.83099997
   14.20527744    4.91499996    1.81200004
   14.20611095    4.91499996    1.83099997
   14.20722198    4.91499996    1.73399997
   14.20805550    4.91499996    1.63800001
   14.20916653    4.91499996    1.71500003
   14.21027756    4.91499996    1.75399995
   14.21111107    4.91499996    1.73399997
   14.21222210    4.91499996    1.69599998
   14.21305561    4.91499996    1.73399997
   14.21416664    4.91499996    1.73399997
   14.21527767    4.91499996    1.73399997
   14.21611118    4.91499996    1.69599998
   14.21722221    4.91499996    1.69599998
   14.21805477    4.91499996    1.63800001
   14.21916580    4.91499996    1.58000004
   14.21999931    4.91499996    1.48399997
   14.22111034    4.91499996    1.50300002
   14.22222137    4.91499996    1.60000002
   14.22305489    4.91499996    1.63800001
   14.22416592    4.91499996    1.73399997
   14.22499943    4.91499996    1.77300000
   14.22611046    4.91499996    1.79200006
   14.22694397    4.91499996    2.00399995
   14.22805500    4.91499996    2.06200004
   14.22916603    4.91499996    2.04299998
   14.22999954    4.91499996    2.08100009
   14.23111057    4.91499996    2.08100009
   14.23194408    4.91499996    2.15899992
   14.23305511    4.91499996    2.10100007
   14.23416710    4.91499996    2.15899992
   14.23500061    4.91499996    2.15899992
   14.23611164    4.91499996    2.17799997
   14.23694515    4.91499996    2.19700003
   14.23805618    4.91499996    2.17799997
   14.23916721    4.91499996    2.23600006
   14.24000072    4.91499996    2.25500011
   14.24111176    4.91499996    2.35100007
   14.24194431    4.91499996    2.35100007
   14.24305534    4.91499996    2.29399991
   14.24388885    4.91499996    2.31299996
   14.24499989    4.91499996    2.31299996
   14.24611092    4.91499996    2.31299996
   14.24694443    4.91499996    2.25500011
   14.24805546    4.91499996    2.31299996
   14.24888897    4.91499996    2.27399993
   14.25000000    4.91499996    2.23600006
   14.25111103    4.91499996    2.25500011
   14.25194454    4.91499996    2.21600008
   14.25305557    4.91499996    2.19700003
   14.25388908    4.91499996    2.29399991
   14.25500011    4.91499996    2.23600006
   14.25611115    4.91499996    2.23600006
   14.25694466    4.91499996    2.21600008
   14.25805569    4.91499996    2.21600008
   14.25888920    4.91499996    2.21600008
