    HOUR (UT)   FLARE FACTOR    SKY TESTER    SUN TESTER
   12.01388931   -1.00000000   -1.00000000   -1.00000000
   12.03777790   94.57920074    0.00000000    0.00000000
   12.04083347   91.01950073    0.00000000    0.00000000
   12.04416752   94.11219788    0.00000000    0.00000000
   12.04722309   91.02549744    0.00000000    0.00000000
   12.05027771   88.91030121    0.00000000    0.00000000
   12.05333328   88.73139954    0.00000000    0.00000000
   12.05666733   93.84130096    0.00000000    0.00000000
   12.05972195   86.69730377    0.00000000    0.00000000
   12.06250000   88.35729980    0.00000000    0.00000000
   12.06305599   91.21360016    0.00000000    0.00000000
   12.06611156   94.56759644    0.00000000    0.00000000
   12.06944466   98.53970337    0.00000000    0.00000000
   12.07250023   91.91950226    0.00000000    0.00000000
   12.07555580   88.21080017    0.00000000    0.00000000
   12.07861137   90.19080353    0.00000000    0.00000000
   12.08194447   93.66979980    0.00000000    0.00000000
   12.08500004   92.02459717    0.00000000    0.00000000
   12.08749962   92.91390228    0.00000000    0.00000000
   12.08833313   93.97799683    0.00000000    0.00000000
   12.09138870   87.96720123    0.00000000    0.00000000
   12.09472179   91.24050140    0.00000000    0.00000000
   12.09777737   90.73799896    0.00000000    0.00000000
   12.10083389   91.70429993    0.00000000    0.00000000
   12.10416698   91.78970337    0.00000000    0.00000000
   12.10722256   93.66439819    0.00000000    0.00000000
   12.11027813   87.17199707    0.00000000    0.00000000
   12.11250019   86.10990143    0.00000000    0.00000000
   12.11361122   88.49949646    0.00000000    0.00000000
   12.11666679   88.50550079    0.00000000    0.00000000
   12.11999989   88.04989624    0.00000000    0.00000000
   12.12305546   86.88849640    0.00000000    0.00000000
   12.12611103   85.45860291    0.00000000    0.00000000
   12.12916660   86.28919983    0.00000000    0.00000000
   12.13249969   89.66699982    0.00000000    0.00000000
   12.13555527   87.98519897    0.00000000    0.00000000
   12.13749981   84.75720215    0.00000000    0.00000000
   12.13888836   87.00730133    0.00000000    0.00000000
   12.14194393   87.47630310    0.00000000    0.00000000
   12.14527798   91.54479980    0.00000000    0.00000000
   12.14833355   88.01029968    0.00000000    0.00000000
   12.15138817   87.86530304    0.00000000    0.00000000
   12.15444374   90.69989777    0.00000000    0.00000000
   12.15777779   87.52120209    0.00000000    0.00000000
   12.16083336   86.54889679    0.00000000    0.00000000
   12.16249943   85.39409637    0.00000000    0.00000000
   12.16416645   87.13790131    0.00000000    0.00000000
   12.16722298   88.40100098    0.00000000    0.00000000
   12.17055607   85.38259888    0.00000000    0.00000000
   12.17416668   84.11599731    0.00000000    0.00000000
   12.17722225   83.56289673    0.00000000    0.00000000
   12.18027782   82.84929657    0.00000000    0.00000000
   12.18333340   84.35340118    0.00000000    0.00000000
   12.18666649   83.57230377    0.00000000    0.00000000
   12.18750000   83.84439850    0.00000000    0.00000000
   12.18972206   83.01210022    0.00000000    0.00000000
   12.19277763   85.42350006    0.00000000    0.00000000
   12.19611073   85.87470245    0.00000000    0.00000000
   12.19916630   83.02400208    0.00000000    0.00000000
   12.20222187   84.87030029    0.00000000    0.00000000
   12.20555496   81.01450348    0.00000000    0.00000000
   12.20861053   83.35250092    0.00000000    0.00000000
   12.21166611   79.42109680    0.00000000    0.00000000
   12.21249962   81.58650208    0.00000000    0.00000000
   12.21500015   82.10559845    0.00000000    0.00000000
   12.21833324   79.78450012    0.00000000    0.00000000
   12.22138882   81.73179626    0.00000000    0.00000000
   12.22444439   82.10780334    0.00000000    0.00000000
   12.22749996   78.34880066    0.00000000    0.00000000
   12.23083305   83.15740204    0.00000000    0.00000000
   12.23388958   83.14959717    0.00000000    0.00000000
   12.23694515   82.48539734    0.00000000    0.00000000
   12.23750019   82.45320129    0.00000000    0.00000000
   12.24027824   86.47480011    0.00000000    0.00000000
   12.24361134   81.92539978    0.00000000    0.00000000
   12.24666691   83.27860260    0.00000000    0.00000000
   12.24972248   82.17250061    0.00000000    0.00000000
   12.25277805   81.36199951    0.00000000    0.00000000
   12.25611115   83.22100067    0.00000000    0.00000000
   12.25916672   81.73030090    0.00000000    0.00000000
   12.26222229   80.71659851    0.00000000    0.00000000
   12.26249981   83.06310272    0.00000000    0.00000000
   12.26583290   84.62090302    0.00000000    0.00000000
   12.26888847   83.14409637    0.00000000    0.00000000
   12.27194405   85.48780060    0.00000000    0.00000000
   12.27499962   86.56240082    0.00000000    0.00000000
   12.27833271   84.43859863    0.00000000    0.00000000
   12.28138828   86.85119629    0.00000000    0.00000000
   12.28444481   84.67710114    0.00000000    0.00000000
   12.28750038   84.14710236    0.00000000    0.00000000
   12.28777790   82.79370117    0.00000000    0.00000000
   12.29111195   84.83650208    0.00000000    0.00000000
   12.29416752   81.13950348    0.00000000    0.00000000
   12.29722309   81.89610291    0.00000000    0.00000000
   12.30055618   84.01959991    0.00000000    0.00000000
   12.30361176   83.47119904    0.00000000    0.00000000
   12.30666733   86.44979858    0.00000000    0.00000000
   12.30972195   82.30010223    0.00000000    0.00000000
   12.31250000   80.95619965    0.00000000    0.00000000
   12.31333351   82.94190216    0.00000000    0.00000000
   12.31638908   83.82720184    0.00000000    0.00000000
   12.31944466   86.33699799    0.00000000    0.00000000
   12.32250023   85.17350006    0.00000000    0.00000000
