    HOUR (UT)   FLARE FACTOR    SKY TESTER    SUN TESTER
   11.84722233   -1.00000000   -1.00000000   -1.00000000
   11.90027714  212.72399902    0.00000000    0.00000000
   11.90333271  230.92300415    0.00000000    0.00000000
   11.90666676  207.87100220    0.00000000    0.00000000
   11.91083336  207.87100220    0.00000000    0.00000000
   11.92444515  207.20700073    0.00000000    0.00000000
   11.92500019  214.73599243    0.00000000    0.00000000
   11.92777824  220.39799500    0.00000000    0.00000000
   11.93111134  215.33700562    0.00000000    0.00000000
   11.93416691  208.49299622    0.00000000    0.00000000
   11.94666672  221.71600342    0.00000000    0.00000000
   11.94972229  201.81100464    0.00000000    0.00000000
   11.96583271  201.81100464    4.90999985    2.34999990
   11.96999931  204.84399414    4.90999985    2.32999992
   11.97305489  208.96600342    4.90999985    2.34999990
   11.98611164  200.40800476    4.90999985    2.34999990
   11.98944473  200.89199829    4.90999985    2.36999989
   11.99250031  204.68800354    4.90999985    2.36999989
   12.00888920  204.68800354    0.00000000    0.00000000
   12.01305580  185.07899475    4.90999985    2.36999989
   12.01638889  219.86099243    4.90999985    2.39000010
   12.01944447  184.56199646    4.90999985    2.39000010
   12.03222179  199.58999634    4.90999985    2.39000010
   12.03833389  222.85400391    4.90999985    2.39000010
   12.04250050  222.85400391    4.90999985    2.39000010
   12.05555534  202.74800110    0.00000000    0.00000000
   12.08333302  218.02799988    0.00000000    0.00000000
   12.09611034  202.48399353    0.00000000    0.00000000
   12.10888958  202.61000061    4.90999985    2.40000010
   12.10972214  200.42700195    4.90999985    2.40000010
   12.11305618  194.20700073    4.90999985    2.40000010
   12.11833382  194.20700073    4.90999985    2.42000008
   12.13111115  197.85400391    0.00000000    0.00000000
   12.13222218  188.47999573    4.90999985    2.40000010
   12.14333344  192.38000488    0.00000000    0.00000000
   12.14638901  197.36900330    4.90999985    2.40000010
   12.14972210  223.64500427    4.90999985    2.42000008
   12.15305519  224.24600220    4.90999985    2.42000008
   12.15611076  225.60000610    4.90999985    2.42000008
   12.17972279  225.60000610    4.90999985    2.44000006
   12.18361092  329.16500854    4.90999985    2.44000006
   12.18694496  360.71499634    4.90999985    2.42000008
   12.19027805  338.93099976    4.90999985    2.44000006
   12.19333363  394.85101318    4.90999985    2.44000006
   12.20666695  398.64199829    4.90999985    2.46000004
   12.21000004  346.46200562    4.90999985    2.46000004
   12.22583294  346.46200562    0.00000000    0.00000000
   12.22999954  398.07598877    4.90999985    2.46000004
   12.23333359  423.60501099    4.90999985    2.46000004
   12.23527813  391.13900757    4.90999985    2.46000004
