    HOUR (UT)   FLARE FACTOR    SKY TESTER    SUN TESTER
   11.18027782   -1.00000000   -1.00000000   -1.00000000
   11.27388859  200.90199280    3.73000002    2.00000000
   11.27722168  169.35499573    3.73000002    1.98000002
   11.28027725  146.83799744    3.73000002    2.00000000
   11.28361130  162.11500549    3.73000002    2.00000000
   11.28666687  178.81199646    3.73000002    2.00000000
   11.29000092  174.99400330    3.73000002    2.00000000
   11.29416752  174.99400330    3.75000000    2.00000000
   11.29833412  165.72300720    3.73000002    2.00000000
   11.30138874  168.94799805    3.73000002    2.01999998
   11.30472279  186.79499817    3.70000005    2.00000000
   11.30722237  215.66700745    3.70000005    2.01999998
   11.30833340  159.84199524    3.70000005    2.01999998
   11.31166649  185.10299683    3.68000007    2.01999998
   11.31500053  139.58999634    3.68000007    2.03999996
   11.31805515  185.65600586    3.66000009    2.01999998
   11.32138920  148.32400513    3.64000010    2.01999998
   11.32472229  148.25700378    3.64000010    2.03999996
   11.32777786  138.72999573    3.61999989    2.03999996
   11.33111095  148.85200500    3.59999990    2.03999996
   11.33694458  148.85200500    3.57999992    2.03999996
   11.34111118  170.66600037    3.55999994    2.03999996
   11.34444427  133.32699585    3.55999994    2.03999996
   11.34749985  169.12800598    3.51999998    2.05999994
   11.35083389  134.46699524    3.51999998    2.05999994
   11.35416698  156.72500610    3.50000000    2.05999994
   11.35722256  155.32499695    3.48000002    2.05999994
   11.36055565  141.37800598    3.46000004    2.05999994
   11.36361122  169.01300049    3.46000004    2.05999994
   11.36694431  153.21699524    3.45000005    2.05999994
   11.37027836  149.96499634    3.43000007    2.05999994
   11.37333393  135.73199463    3.41000009    2.07999992
   11.37388897  140.32400513    3.41000009    2.07999992
   11.38000011  140.32400513    3.39000010    2.07999992
   11.38388920  150.91099548    3.39000010    2.07999992
   11.38722229  148.46899414    3.36999989    2.09999990
   11.39055538  127.04299927    3.36999989    2.09999990
   11.39361095  161.77299500    3.34999990    2.09999990
   11.39694405  128.98100281    3.34999990    2.09999990
   11.39999962  130.98300171    3.34999990    2.09999990
