    HOUR (UT)   FLARE FACTOR    SKY TESTER    SUN TESTER
   10.50666714   -1.00000000   -1.00000000   -1.00000000
   10.57083321  379.66799927    1.05999994    1.71000004
   10.57611084  386.75100708    1.03999996    1.71000004
   10.57944393  414.17599487    1.03999996    1.71000004
   10.58138847  384.61599731    1.03999996    1.71000004
   10.58277798  336.92800903    1.03999996    1.71000004
   10.58277798  386.75100708    1.03999996    1.71000004
   10.58277798  414.17599487    1.03999996    1.71000004
   10.58361053  357.55200195    1.03999996    1.71000004
   10.58694458  371.58999634    1.03999996    1.73000002
   10.59027767  381.33300781    1.01999998    1.73000002
   10.59333324  372.42001343    1.00000000    1.75000000
   10.59666634  371.69500732    1.00000000    1.75000000
   10.60361195  371.69500732    0.98000002    1.76999998
   10.60750008  371.75100708    1.00000000    1.76999998
   10.61083412  365.85101318    0.98000002    1.76999998
   10.61416721  366.76599121    0.98000002    1.76999998
   10.61666679  326.88800049    0.98000002    1.76999998
   10.61777782  374.73699951    0.98000002    1.76999998
   10.62111092  359.07901001    0.98000002    1.78999996
   10.62416649  361.86999512    0.95999998    1.78999996
   10.62750053  374.43301392    0.95999998    1.78999996
   10.63083363  356.89498901    0.95999998    1.78999996
   10.63388920  349.24499512    0.95999998    1.78999996
   10.63722229  388.74798584    0.95999998    1.78999996
   10.64055538  351.88500977    0.95999998    1.78999996
   10.64638901  351.88500977    0.92000002    1.80999994
   10.65055561  373.66000366    0.92000002    1.83000004
   10.65361118  348.70098877    0.92000002    1.83000004
   10.65694427  326.24700928    0.92000002    1.83000004
   10.66027737  379.90200806    0.89999998    1.85000002
   10.66333294  362.66000366    0.89999998    1.85000002
   10.66666698  317.89898682    0.89999998    1.85000002
   10.66972256  380.51901245    0.89999998    1.86000001
   10.67305565  344.40899658    0.89999998    1.85000002
   10.67638874  370.45999146    0.88000000    1.85000002
   10.67944431  331.68701172    0.89999998    1.85000002
   10.68277836  351.71600342    0.89999998    1.85000002
   10.68333340  318.02398682    0.89999998    1.85000002
   10.68916702  318.02398682    0.88000000    1.86000001
   10.69333363  319.36801147    0.88000000    1.88000000
   10.69638920  343.40499878    0.88000000    1.88000000
   10.69972229  348.55899048    0.86000001    1.88000000
   10.70305538  324.92300415    0.86000001    1.88000000
   10.70611095  322.75100708    0.86000001    1.89999998
   10.70944405  335.49899292    0.86000001    1.89999998
   10.71277714  333.73498535    0.86000001    1.89999998
   10.71583271  328.84899902    0.86000001    1.89999998
   10.71666622  323.89599609    0.86000001    1.89999998
   10.71972179  323.43200684    0.86000001    1.89999998
   10.72277737  298.43200684    0.83999997    1.89999998
   10.72611046  303.61700439    0.81999999    1.91999996
   10.73194408  303.61700439    0.81999999    1.94000006
   10.73611164  333.90301514    0.83999997    1.94000006
   10.73944473  309.32598877    0.81999999    1.94000006
   10.74250031  336.77999878    0.81999999    1.91999996
   10.74583340  321.40301514    0.81999999    1.94000006
   10.74916649  308.65499878    0.81999999    1.94000006
   10.75000000  309.48098755    0.80000001    1.94000006
   10.75277805  326.87100220    0.80000001    1.96000004
   10.75583363  303.42498779    0.80000001    1.96000004
   10.75916672  310.05999756    0.80000001    1.96000004
   10.76249981  296.03799438    0.92000002    1.96000004
   10.76583290  321.55200195    1.16999996    1.96000004
   10.76888847  307.84698486    0.81999999    1.98000002
   10.77472210  307.84698486    0.80000001    1.98000002
   10.77888870  300.79000854    0.80000001    1.98000002
   10.78222179  281.13800049    0.79000002    1.98000002
   10.78333378  288.27398682    0.80000001    1.98000002
   10.78583336  284.76501465    0.79000002    1.98000002
   10.78888893  294.99301147    0.79000002    1.98000002
   10.79222298  291.38598633    0.79000002    2.00000000
   10.79527855  294.96200562    0.76999998    2.00000000
   10.79861164  289.30300903    0.79000002    2.00000000
   10.80194473  289.15899658    0.76999998    2.00000000
   10.80500031  299.93798828    0.76999998    2.01999998
   10.80833340  310.00900269    0.76999998    2.00000000
   10.81166649  287.50399780    0.76999998    2.01999998
   10.81777763  287.50399780    0.76999998    2.01999998
   10.82194424  282.88299561    0.76999998    2.01999998
   10.82499981  283.19601440    0.76999998    2.01999998
   10.82833290  271.67001343    0.75000000    2.01999998
   10.83138847  278.64999390    0.75000000    2.01999998
   10.83472157  263.41500854    0.75000000    2.03999996
   10.83805561  266.15399170    0.75000000    2.03999996
   10.84111118  285.16000366    0.75000000    2.03999996
   10.84444427  292.82199097    0.75000000    2.03999996
   10.84777737  260.61801147    0.75000000    2.03999996
   10.85000038  285.26998901    0.75000000    2.03999996
   10.85138893  269.21301270    0.75000000    2.03999996
   10.85444450  286.07400513    0.75000000    2.03999996
   10.86055565  286.07400513    0.73000002    2.05999994
   10.86472225  289.07400513    0.73000002    2.05999994
   10.86777782  265.09799194    0.73000002    2.05999994
   10.87111092  267.23901367    0.73000002    2.05999994
   10.87444496  263.61599731    0.73000002    2.05999994
   10.87750053  276.36401367    0.73000002    2.07999992
   10.88083363  272.45800781    0.73000002    2.07999992
   10.88333321  278.98400879    0.73000002    2.07999992
   10.88444424  249.81799316    0.70999998    2.07999992
   10.88749981  279.17800903    0.73000002    2.07999992
   10.89083290  272.23001099    0.73000002    2.07999992
   10.89388847  262.72299194    0.70999998    2.07999992
   10.89722252  267.00799561    0.70999998    2.07999992
   10.90333271  267.00799561    0.70999998    2.09999990
   10.90749931  269.93399048    0.70999998    2.09999990
   10.91083336  257.42098999    0.70999998    2.09999990
   10.91388893  281.43099976    0.70999998    2.09999990
   10.91666698  256.42898560    0.70999998    2.09999990
   10.91777802  258.32400513    0.70999998    2.09999990
   10.92083359  244.69700623    0.69000000    2.09999990
   10.92416668  264.55099487    0.69000000    2.09999990
   10.92722225  260.28298950    0.69000000    2.11999989
   10.93055630  257.61599731    0.70999998    2.11999989
   10.93388939  258.67300415    0.69000000    2.11999989
   10.93694496  263.28500366    0.69000000    2.11999989
   10.94027805  249.75799561    0.69000000    2.13000011
   10.94638920  249.75799561    0.69000000    2.13000011
   10.95027733  238.72200012    0.69000000    2.13000011
   10.95361137  252.18299866    0.67000002    2.13000011
   10.95694447  238.30900574    0.67000002    2.13000011
   10.96000004  248.83200073    0.67000002    2.13000011
   10.96333313  260.77398682    0.67000002    2.13000011
   10.96638870  254.55299377    0.69000000    2.13000011
   10.96972179  234.06500244    0.67000002    2.15000010
   10.97305489  245.56900024    0.69000000    2.15000010
   10.97611046  230.39399719    0.69000000    2.15000010
   10.97944355  259.01501465    0.69000000    2.15000010
   10.98277760  256.36999512    0.69000000    2.15000010
   10.98333359  231.91200256    0.69000000    2.15000010
   10.98916721  231.91200256    0.67000002    2.17000008
   10.99333382  276.84600830    0.67000002    2.15000010
   10.99638939  270.98199463    0.64999998    2.17000008
   10.99972248  248.81300354    0.67000002    2.17000008
   11.00305557  259.47799683    0.67000002    2.17000008
   11.00611115  258.42401123    0.64999998    2.17000008
   11.00944424  260.05200195    0.64999998    2.17000008
   11.01277733  244.03900146    0.64999998    2.17000008
   11.01583290  238.58599854    0.64999998    2.17000008
   11.01666641  240.57099915    0.64999998    2.17000008
   11.01972198  249.95799255    0.64999998    2.19000006
   11.02277756  248.36399841    0.64999998    2.17000008
   11.02611065  253.04299927    0.64999998    2.19000006
   11.03194427  253.04299927    0.64999998    2.19000006
   11.03611183  246.75300598    0.64999998    2.19000006
   11.03916740  235.13499451    0.63000000    2.19000006
   11.04250050  243.50000000    0.64999998    2.19000006
   11.04583359  231.45799255    0.64999998    2.21000004
   11.04888916  240.71600342    0.63000000    2.21000004
   11.05000019  234.38400269    0.63000000    2.21000004
   11.05277824  241.72000122    0.63000000    2.21000004
   11.05583382  245.33299255    0.63000000    2.19000006
   11.05916691  231.83700562    0.63000000    2.21000004
   11.06250000  254.89999390    0.63000000    2.21000004
   11.06555557  233.79200745    0.63000000    2.21000004
   11.06888866  243.40800476    0.63000000    2.21000004
   11.07472229  243.40800476    0.63000000    2.23000002
   11.07888889  234.31599426    0.61000001    2.23000002
   11.08222198  235.80299377    0.61000001    2.23000002
   11.08333302  241.65499878    0.61000001    2.23000002
   11.08583260  243.01300049    0.61000001    2.23000002
   11.08888817  246.26600647    0.61000001    2.23000002
   11.09222221  250.21800232    0.61000001    2.23000002
   11.09555531  246.95300293    0.61000001    2.23000002
   11.09861088  233.72200012    0.61000001    2.23000002
   11.10194492  248.56100464    0.61000001    2.23000002
   11.10500050  247.44500732    0.61000001    2.23000002
   11.10833359  231.35899353    0.61000001    2.23000002
   11.11166668  249.07899475    0.58999997    2.25000000
   11.11777782  249.07899475    0.61000001    2.25000000
   11.12166691  227.07499695    0.58999997    2.25000000
   11.12500000  225.31599426    0.58999997    2.25000000
   11.12833309  218.81300354    0.58999997    2.25000000
   11.13138866  237.96000671    0.58999997    2.25000000
   11.13472176  232.66600037    0.58999997    2.25000000
   11.13805580  242.90899658    0.58999997    2.25000000
   11.14111137  222.46200562    0.56999999    2.26999998
   11.14444447  252.11099243    0.58999997    2.26999998
   11.14750004  255.73199463    0.56999999    2.26999998
   11.14999962  257.36801147    0.56999999    2.26999998
   11.15138817  316.27499390    0.56999999    2.26999998
   11.15444374  281.67800903    0.56999999    2.26999998
   11.16055489  281.67800903    0.56999999    2.26999998
   11.16472149  312.91500854    0.56999999    2.26999998
   11.16777802  407.58999634    0.56999999    2.28999996
   11.17000008  557.69201660    0.56999999    2.28999996
   11.17111111  537.81402588    0.56999999    2.26999998
   11.17250061  645.88000488    0.56999999    2.26999998
   11.17388916  679.03100586    0.56999999    2.28999996
   11.17527771  487.18200684    0.56999999    2.28999996
   11.17666721  681.53302002    0.56999999    2.28999996
   11.17805576  742.16101074    0.56999999    2.28999996
   11.17944431  650.67102051    0.56999999    2.28999996
   11.18083382  607.44598389    0.56999999    2.28999996
   11.18222237  667.06298828    0.56999999    2.28999996
   11.18361092  587.88897705    0.56999999    2.28999996
   11.18500042  599.38201904    0.56999999    2.28999996
   11.18638897  654.60699463    0.56999999    2.28999996
   11.18777752  618.01397705    0.56999999    2.28999996
   11.18916702  597.96600342    0.56999999    2.28999996
   11.19055557  619.51202393    0.56999999    2.28999996
   11.19194412  517.58197021    0.56999999    2.28999996
   11.19333363  529.30102539    0.56999999    2.28999996
   11.19472218  484.75601196    0.56999999    2.28999996
   11.19611073  442.84600830    0.56999999    2.28999996
   11.19750023  469.39401245    0.56999999    2.30999994
   11.19888878  489.38500977    0.55000001    2.30999994
   11.20027733  478.74398804    0.55000001    2.30999994
   11.20166683  460.67300415    0.55000001    2.30999994
   11.20305538  542.32202148    0.55000001    2.30999994
   11.20444393  465.60101318    0.55000001    2.30999994
   11.20583344  439.23800659    0.55000001    2.30999994
   11.20722198  519.55700684    0.56999999    2.30999994
   11.20861053  407.89599609    0.56999999    2.30999994
   11.21000004  474.86300659    0.55000001    2.30999994
   11.21138859  472.91198730    0.55000001    2.30999994
   11.21277714  450.83599854    0.55000001    2.30999994
   11.21416664  419.48199463    0.55000001    2.30999994
   11.21555519  449.07299805    0.55000001    2.30999994
   11.21694374  396.61199951    0.55000001    2.30999994
   11.21833324  441.18600464    0.55000001    2.30999994
   11.21972179  475.64199829    0.55000001    2.30999994
   11.22111034  396.73001099    0.55000001    2.32999992
   11.22249985  388.22299194    0.55000001    2.32999992
   11.22388840  382.18600464    0.55000001    2.30999994
   11.22527695  348.57000732    0.55000001    2.30999994
   11.22555542  252.11099243    0.58999997    2.26999998
   11.22555542  255.73199463    0.56999999    2.26999998
   11.22555542  316.27499390    0.56999999    2.26999998
   11.22583294  281.67800903    0.56999999    2.26999998
   11.22583294  312.91500854    0.56999999    2.26999998
   11.22583294  407.58999634    0.56999999    2.28999996
   11.22611046  232.66600037    0.58999997    2.25000000
   11.22611046  242.90899658    0.58999997    2.25000000
   11.22611046  222.46200562    0.56999999    2.26999998
   11.22666645  374.50399780    0.55000001    2.32999992
   11.22999954  349.92001343    0.55000001    2.30999994
   11.23333359  349.90798950    0.55000001    2.30999994
   11.23638916  349.22698975    0.55000001    2.32999992
   11.23972225  376.33898926    0.55000001    2.32999992
   11.24611092  376.33898926    0.55000001    2.32999992
   11.25027752  265.74099731    0.55000001    2.32999992
   11.25361156  329.37600708    0.55000001    2.32999992
   11.25666714  312.10400391    0.55000001    2.32999992
   11.25916672  246.32200623    0.52999997    2.32999992
   11.26055527  288.84500122    0.52999997    2.32999992
   11.26361084  301.76800537    0.52999997    2.32999992
   11.26694393  225.96099854    0.52999997    2.32999992
   11.27027798  265.08401489    0.55000001    2.32999992
   11.27333355  242.15699768    0.52999997    2.32999992
   11.27666664  243.57600403    0.52999997    2.32999992
   11.27999973  273.87701416    0.52999997    2.32999992
   11.28305531  256.79501343    0.52999997    2.32999992
   11.28888893  256.79501343    0.52999997    2.34999990
   11.29305553  265.72198486    0.52999997    2.34999990
   11.29638958  220.20599365    0.52999997    2.34999990
   11.29972267  220.01400757    0.52999997    2.34999990
   11.30277824  235.93699646    0.52999997    2.36999989
   11.30611134  249.28500366    0.52999997    2.34999990
   11.30916691  225.65400696    0.52999997    2.34999990
   11.31250000  237.59399414    0.51999998    2.34999990
   11.31583309  234.87300110    0.51999998    2.36999989
   11.31888866  222.98199463    0.52999997    2.36999989
   11.32222176  232.45500183    0.51999998    2.36999989
   11.32555580  231.36099243    0.51999998    2.36999989
   11.32611084  242.64500427    0.51999998    2.36999989
   11.33194447  242.64500427    0.52999997    2.36999989
   11.33611107  224.36300659    0.52999997    2.36999989
   11.33916664  239.82499695    0.51999998    2.39000010
   11.34249973  233.69500732    0.51999998    2.36999989
   11.34555531  223.45199585    0.51999998    2.36999989
   11.34888840  235.95899963    0.51999998    2.36999989
   11.35222244  237.51800537    0.51999998    2.39000010
   11.35527802  235.16200256    0.51999998    2.39000010
   11.35861111  210.50100708    0.51999998    2.39000010
   11.35944462  236.66200256    0.51999998    2.39000010
   11.36222267  225.10600281    0.51999998    2.39000010
   11.36555576  226.13099670    0.51999998    2.39000010
   11.36888885  234.48699951    0.51999998    2.39000010
   11.37472248  234.48699951    0.50000000    2.39000010
   11.37888908  218.56300354    0.50000000    2.40000010
   11.38194466  237.80099487    0.50000000    2.40000010
   11.38527775  229.58000183    0.50000000    2.39000010
   11.38861084  243.13200378    0.51999998    2.39000010
   11.39166641  225.81300354    0.51999998    2.39000010
   11.39277744  246.40899658    0.50000000    2.40000010
   11.39527798  223.96800232    0.50000000    2.40000010
   11.39861107  232.39500427    0.50000000    2.40000010
   11.40194416  221.64900208    0.50000000    2.40000010
   11.40527725  258.76501465    0.50000000    2.40000010
   11.40833282  227.70599365    0.50000000    2.40000010
   11.41166592  254.22300720    0.50000000    2.40000010
   11.41750050  254.22300720    0.50000000    2.40000010
   11.42166710  216.85099792    0.50000000    2.40000010
   11.42500019  215.17399597    0.50000000    2.40000010
   11.42611122  240.59800720    0.50000000    2.40000010
   11.42861176  237.26800537    0.50000000    2.40000010
   11.43194485  228.07499695    0.50000000    2.40000010
   11.43500042  227.14599609    0.50000000    2.42000008
   11.43833351  243.49899292    0.50000000    2.42000008
   11.44166660  240.69900513    0.47999999    2.40000010
   11.44472218  247.58200073    0.50000000    2.40000010
   11.44805527  228.61500549    0.47999999    2.42000008
   11.45138836  215.35299683    0.47999999    2.42000008
   11.45444393  223.47300720    0.50000000    2.42000008
   11.46027756  223.47300720    0.47999999    2.42000008
   11.46444416  222.42500305    0.47999999    2.44000006
   11.46777725  215.83999634    0.47999999    2.44000006
   11.47111034  236.48199463    0.47999999    2.44000006
   11.47416592  215.70899963    0.47999999    2.42000008
   11.47749996  243.78199768    0.47999999    2.42000008
   11.48055553  229.25300598    0.47999999    2.44000006
   11.48388958  238.24099731    0.47999999    2.44000006
   11.48722267  221.79800415    0.47999999    2.42000008
