    HOUR (UT)   FLARE FACTOR    SKY TESTER    SUN TESTER
   11.15944386   -1.00000000   -1.00000000   -1.00000000
   11.19861126  226.70899963    4.90999985    2.30999994
   11.20194435  223.29200745    4.90999985    2.32999992
   11.20499992  225.25199890    4.90999985    2.30999994
   11.20833302  207.25900269    4.90999985    2.30999994
   11.21166611  229.07400513    4.90999985    2.32999992
   11.21472168  221.17500305    4.90999985    2.30999994
   11.21888828  221.17500305    4.90999985    2.32999992
   11.22305489  226.58200073    4.90999985    2.32999992
   11.22638798  226.31500244    4.90999985    2.32999992
   11.22944355  234.37199402    4.90999985    2.32999992
   11.23194408  232.72599792    4.90999985    2.32999992
   11.23333359  222.52000427    4.90999985    2.32999992
   11.23638916  234.06100464    4.90999985    2.32999992
   11.23972225  215.78900146    4.90999985    2.32999992
   11.24277782  213.50900269    4.90999985    2.32999992
   11.24611092  227.06900024    4.90999985    2.32999992
   11.24944496  217.50599670    4.90999985    2.32999992
   11.25249958  231.07699585    4.90999985    2.34999990
   11.25583363  221.84800720    4.90999985    2.34999990
   11.26166630  221.84800720    4.90999985    2.32999992
   11.26583290  210.03900146    4.90999985    2.34999990
   11.26916599  218.49200439    4.90999985    2.34999990
   11.27250004  226.17700195    4.90999985    2.34999990
   11.27555561  222.13800049    4.90999985    2.36999989
   11.27888870  210.19999695    4.90999985    2.34999990
   11.28194427  235.46299744    4.90999985    2.34999990
   11.28527832  214.50300598    4.90999985    2.34999990
   11.28861141  208.22500610    4.90999985    2.34999990
   11.29166698  219.09399414    4.90999985    2.36999989
   11.29500008  220.69500732    4.90999985    2.36999989
   11.29833412  216.44299316    4.90999985    2.36999989
   11.29861164  219.78799438    4.90999985    2.36999989
   11.30472279  219.78799438    4.90999985    2.36999989
   11.30861092  216.64300537    4.90999985    2.36999989
   11.31194496  206.28500366    4.90999985    2.36999989
   11.31527805  222.30200195    4.90999985    2.36999989
   11.31833363  219.48199463    4.90999985    2.36999989
   11.32166672  232.15100098    4.90999985    2.36999989
   11.32499981  241.64500427    4.90999985    2.36999989
   11.32805538  219.52099609    4.90999985    2.36999989
   11.33138847  217.61500549    4.90999985    2.36999989
   11.33194447  212.54499817    4.90999985    2.39000010
   11.33500004  204.53500366    4.90999985    2.39000010
   11.33833313  229.21000671    4.90999985    2.39000010
   11.34138870  223.62699890    4.90999985    2.39000010
   11.34749985  223.62699890    4.90999985    2.39000010
   11.35166740  202.58299255    4.90999985    2.39000010
   11.35472298  230.27999878    4.90999985    2.39000010
   11.35805607  213.85000610    4.90999985    2.39000010
   11.36138916  216.07499695    4.90999985    2.39000010
   11.36444473  223.08099365    4.90999985    2.40000010
   11.36527824  228.37500000    4.90999985    2.40000010
   11.36805534  217.70100403    4.90999985    2.39000010
   11.37138939  213.62199402    4.90999985    2.39000010
   11.37444496  214.55700684    4.90999985    2.39000010
   11.37777805  218.71099854    4.90999985    2.39000010
   11.38111115  199.32600403    4.90999985    2.39000010
   11.38416672  209.49800110    4.90999985    2.40000010
   11.39027786  209.49800110    4.90999985    2.39000010
   11.39444447  220.83299255    4.90999985    2.40000010
   11.39750004  226.92399597    4.90999985    2.40000010
   11.39861107  214.93899536    4.90999985    2.39000010
   11.40111065  211.49200439    4.90999985    2.40000010
   11.40444374  222.39100647    4.90999985    2.40000010
   11.40749931  223.20399475    4.90999985    2.40000010
   11.41083336  194.24099731    4.90999985    2.40000010
   11.41416645  215.66700745    4.90999985    2.39000010
   11.41722298  219.52299500    4.90999985    2.40000010
   11.42055607  216.41799927    4.90999985    2.40000010
   11.42361164  224.06300354    4.90999985    2.40000010
   11.42694473  225.42100525    4.90999985    2.40000010
   11.43305588  225.42100525    4.90999985    2.40000010
   11.43722248  222.90800476    4.90999985    2.40000010
   11.44055557  201.48199463    4.90999985    2.40000010
   11.44361115  207.72700500    4.90999985    2.40000010
   11.44694424  211.38999939    4.90999985    2.40000010
   11.45027733  216.86900330    4.90999985    2.40000010
   11.45305538  223.13999939    4.90999985    2.40000010
   11.45611095  207.33700562    4.90999985    2.40000010
   11.45944405  206.71800232    4.90999985    2.40000010
   11.46277714  211.73699951    4.90999985    2.40000010
   11.46500015  218.77000427    4.90999985    2.40000010
   11.46638870  216.35200500    4.90999985    2.40000010
   11.46944427  216.75700378    4.90999985    2.40000010
   11.47555542  216.75700378    4.90999985    2.42000008
   11.47972202  222.91000366    4.90999985    2.42000008
   11.48305511  215.56799316    4.90999985    2.42000008
   11.48611164  214.38999939    4.90999985    2.42000008
   11.48944473  223.51699829    4.90999985    2.42000008
   11.49250031  204.48599243    4.90999985    2.42000008
   11.49583340  211.19999695    4.90999985    2.42000008
   11.49833393  212.39999390    4.90999985    2.42000008
   11.49972248  199.86599731    4.90999985    2.44000006
   11.50277805  212.06799316    4.90999985    2.44000006
   11.50611115  192.53900146    4.90999985    2.44000006
   11.50916672  197.54499817    4.90999985    2.44000006
   11.51249981  207.80200195    4.90999985    2.42000008
   11.51833344  207.80200195    4.90999985    2.44000006
   11.52250004  215.04200745    4.90999985    2.44000006
   11.52583313  206.60800171    4.90999985    2.42000008
   11.52888870  192.61399841    4.90999985    2.44000006
   11.53166676  198.23399353    4.90999985    2.44000006
   11.53277779  194.64700317    4.90999985    2.44000006
   11.53638935  203.07600403    4.90999985    2.42000008
   11.53944492  189.65899658    4.90999985    2.44000006
   11.54277802  209.94700623    4.90999985    2.44000006
   11.54611111  212.67100525    4.90999985    2.44000006
   11.54916668  208.24800110    4.90999985    2.46000004
   11.55249977  207.52099609    4.90999985    2.44000006
   11.55555534  200.68299866    4.90999985    2.44000006
   11.56166649  200.68299866    4.90999985    2.46000004
   11.56583309  210.39799500    4.90999985    2.44000006
   11.56888866  200.13099670    4.90999985    2.44000006
   11.57222176  202.07699585    4.90999985    2.46000004
   11.57555580  209.71099854    4.90999985    2.46000004
   11.57861137  199.77600098    4.90999985    2.46000004
   11.58194447  201.00000000    4.90999985    2.46000004
   11.58527756  201.13200378    4.90999985    2.46000004
   11.58833313  218.00599670    4.90999985    2.46000004
   11.59166622  208.82899475    4.90999985    2.46000004
   11.59472179  218.02000427    4.90999985    2.46000004
   11.59805489  238.06399536    4.90999985    2.46000004
   11.59888840  222.98500061    4.90999985    2.46000004
   11.60444450  222.98500061    4.90999985    2.46000004
   11.60861111  207.06100464    4.90999985    2.48000002
   11.61194515  234.39399719    4.90999985    2.46000004
   11.61500072  213.66700745    4.90999985    2.48000002
   11.61833382  236.92999268    4.90999985    2.48000002
   11.62166691  216.65199280    4.90999985    2.46000004
   11.62472248  232.47599792    4.90999985    2.48000002
   11.62805557  230.98199463    4.90999985    2.48000002
   11.63138866  217.85400391    4.90999985    2.46000004
   11.63222218  213.46299744    4.90999985    2.48000002
   11.63472176  247.46000671    4.90999985    2.48000002
   11.63805580  238.59599304    4.90999985    2.48000002
   11.64138889  248.95100403    4.90999985    2.48000002
   11.64750004  248.95100403    4.90999985    2.48000002
   11.65138817  247.71899414    4.90999985    2.48000002
   11.65472221  273.97698975    4.90999985    2.46000004
   11.65805531  262.51400757    4.90999985    2.48000002
   11.66111088  250.76199341    4.90999985    2.46000004
   11.66444397  240.82400513    4.90999985    2.48000002
   11.66555500  260.07199097    4.90999985    2.48000002
   11.66805553  220.99299622    4.90999985    2.48000002
   11.67138958  260.56698608    4.90999985    2.50000000
   11.67472267  269.44699097    4.90999985    2.48000002
   11.67777824  267.01901245    4.90999985    2.48000002
   11.68111134  261.53201294    4.90999985    2.48000002
   11.68416691  265.50698853    4.90999985    2.48000002
   11.69027805  265.50698853    4.90999985    2.50000000
   11.69444466  255.73599243    4.90999985    2.48000002
   11.69750023  234.74800110    4.90999985    2.48000002
