    HOUR (UT)   FLARE FACTOR    SKY TESTER    SUN TESTER
   11.82138920   -1.00000000   -1.00000000   -1.00000000
   11.85111141  212.93200684    4.90999985    2.28999996
   11.85444450  188.61000061    4.90999985    2.30999994
   11.85750008  195.50399780    4.90999985    2.34999990
   11.86083412  198.05599976    4.90999985    2.36999989
   11.86388969  190.87100220    4.90999985    2.36999989
   11.86722279  194.85400391    4.90999985    2.32999992
   11.87138939  194.85400391    4.90999985    2.23000002
   11.87555599  228.43499756    4.90999985    2.19000006
   11.87861156  176.15899658    4.90999985    2.13000011
   11.88194466  208.34100342    4.90999985    2.28999996
   11.88444424  266.68600464    4.90999985    2.26999998
   11.88583279  216.41000366    4.90999985    2.17000008
   11.88888836  208.96400452    4.90999985    2.05999994
   11.89222240  211.03900146    4.90999985    2.25000000
   11.89527798  240.56799316    4.90999985    2.15000010
   11.89861107  273.94601440    4.90999985    1.86000001
   11.90194416  241.38900757    4.90999985    2.19000006
   11.90499973  199.33099365    4.90999985    2.13000011
   11.90833282  247.66600037    4.90999985    2.03999996
   11.91416645  247.66600037    4.90999985    1.73000002
   11.91833401   -1.00000000    4.90999985    1.07000005
   11.92166710   -1.00000000    4.90999985    0.81999999
   11.92472267   -1.00000000    4.90999985    0.80000001
   11.92805576   -1.00000000    4.90999985    0.73000002
   11.93111134   -1.00000000    4.90999985    0.61000001
   11.93444443   -1.00000000    4.90999985    0.69000000
   11.93777752   -1.00000000    4.90999985    0.80000001
   11.94083309   -1.00000000    4.90999985    0.81999999
   11.94416714   -1.00000000    4.90999985    1.21000004
   11.94722271   -1.00000000    4.90999985    1.14999998
   11.95055580   -1.00000000    4.90999985    0.94000000
   11.96111107   -1.00000000    4.90999985    1.11000001
   11.96444416  101.58899689    4.90999985    1.23000002
   11.96749973  212.60499573    4.90999985    1.53999996
   11.97083282  202.71000671    4.90999985    1.71000004
   11.97388840  209.12100220    4.90999985    2.01999998
   11.97777748  253.78199768    4.90999985    2.09999990
   11.98111057  190.25500488    4.90999985    2.17000008
   11.98444462  195.32200623    4.90999985    2.28999996
   11.98500061  193.41099548    4.90999985    2.28999996
   11.98805618  189.02699280    4.90999985    2.32999992
   11.99138927  182.91999817    4.90999985    2.39000010
   11.99444485  188.69999695    4.90999985    2.36999989
   12.00000000  188.69999695    4.90999985    2.39000010
   12.00416660  170.98199463    4.90999985    2.30999994
   12.00722218  212.13099670    4.90999985    2.28999996
   12.01055527  226.31700134    4.90999985    2.07999992
   12.01388931  215.05799866    4.90999985    1.88000000
   12.01694393  215.30400085    4.90999985    1.75000000
   12.01777744  251.01300049    4.90999985    1.69000006
   12.02083302  323.22100830    4.90999985    2.00000000
   12.02388859  230.08799744    4.90999985    2.07999992
   12.02722168  249.78399658    4.90999985    2.21000004
   12.03027725  186.15699768    4.90999985    2.11999989
   12.03361130  164.11999512    4.90999985    2.23000002
