    HOUR (UT)   FLARE FACTOR    SKY TESTER    SUN TESTER
   11.86250019   -1.00000000   -1.00000000   -1.00000000
   11.88333321  175.32800293    0.00000000    0.00000000
   11.88972187  148.91499329    0.00000000    0.00000000
   11.89305496  199.77000427    0.00000000    0.00000000
   11.89611053  259.25299072    0.00000000    0.00000000
   11.89944458  295.47601318    0.00000000    0.00000000
   11.90277767  279.32998657    0.00000000    0.00000000
   11.90583324  278.75201416    0.00000000    0.00000000
   11.90916634  283.28799438    0.00000000    0.00000000
   11.91222191  280.59500122    0.00000000    0.00000000
   11.91555500  278.72500610    0.00000000    0.00000000
   11.91666698  280.95401001    0.00000000    0.00000000
   11.91916656  284.42800903    0.00000000    0.00000000
   11.92222214  260.06201172    0.00000000    0.00000000
   11.92555618  318.00201416    0.00000000    0.00000000
   11.92750072  260.61099243    0.00000000    0.00000000
   11.92888927  248.52499390    0.00000000    0.00000000
   11.93027782  270.67199707    0.00000000    0.00000000
   11.93277836  175.86000061    0.00000000    0.00000000
   11.93277836  284.42800903    0.00000000    0.00000000
   11.93277836  260.06201172    0.00000000    0.00000000
   11.93305588  318.00201416    0.00000000    0.00000000
   11.93305588  295.47601318    0.00000000    0.00000000
   11.93305588  279.32998657    0.00000000    0.00000000
   11.93305588  278.75201416    0.00000000    0.00000000
   11.93305588  283.28799438    0.00000000    0.00000000
   11.93333340  280.59500122    0.00000000    0.00000000
   11.93333340  278.72500610    0.00000000    0.00000000
   11.93388939  169.14300537    0.00000000    0.00000000
   11.93694496  145.85699463    0.00000000    0.00000000
   11.94027805  153.83700562    0.00000000    0.00000000
   11.94361115  148.88400269    0.00000000    0.00000000
   11.94666672  157.16200256    0.00000000    0.00000000
   11.95361137  157.16200256    0.00000000    0.00000000
   11.95777798  140.88800049    0.00000000    0.00000000
   11.96083355  144.23599243    0.00000000    0.00000000
   11.96416664  138.36399841    0.00000000    0.00000000
   11.96666622  144.79100037    0.00000000    0.00000000
   11.96749973  138.76699829    0.00000000    0.00000000
   11.97083282  162.48300171    0.00000000    0.00000000
   11.97416592  141.38200378    0.00000000    0.00000000
   11.97722149  134.99200439    0.00000000    0.00000000
   11.98055553  134.59599304    0.00000000    0.00000000
   11.98361111  163.85699463    0.00000000    0.00000000
   11.98694515  149.65499878    0.00000000    0.00000000
   11.99027824  139.62100220    0.00000000    0.00000000
   11.99638939  139.62100220    0.00000000    0.00000000
   12.00055599  140.94400024    0.00000000    0.00000000
   12.00361156  154.88299561    0.00000000    0.00000000
   12.00694466  143.82600403    0.00000000    0.00000000
   12.01027775  135.65400696    0.00000000    0.00000000
   12.01361084  125.89199829    0.00000000    0.00000000
   12.01666641  141.92599487    0.00000000    0.00000000
   12.01999950  150.35200500    0.00000000    0.00000000
   12.02333355  128.96699524    0.00000000    0.00000000
   12.02638817  120.28500366    0.00000000    0.00000000
   12.02972221  122.56999969    0.00000000    0.00000000
   12.03277779  125.16500092    0.00000000    0.00000000
   12.03333378  141.08599854    0.00000000    0.00000000
   12.03916740  141.08599854    0.00000000    0.00000000
   12.04333401  129.95599365    0.00000000    0.00000000
   12.04666710  130.28500366    0.00000000    0.00000000
   12.04972267  137.85800171    0.00000000    0.00000000
   12.05305576  128.30599976    0.00000000    0.00000000
   12.05638885  127.61000061    0.00000000    0.00000000
   12.05944443  129.13299561    0.00000000    0.00000000
   12.06277752  121.30200195    0.00000000    0.00000000
   12.06583309  129.15600586    0.00000000    0.00000000
   12.06666660  137.67199707    0.00000000    0.00000000
   12.06944466  138.77900696    0.00000000    0.00000000
   12.07250023  147.36300659    0.00000000    0.00000000
   12.07583332  128.15899658    0.00000000    0.00000000
   12.08194447  128.15899658    0.00000000    0.00000000
   12.08611107  135.68099976    0.00000000    0.00000000
   12.08944416  132.08599854    0.00000000    0.00000000
   12.09277725  140.99800110    0.00000000    0.00000000
   12.09583282  125.64099884    0.00000000    0.00000000
   12.09916592  124.39499664    0.00000000    0.00000000
   12.10000038  138.86599731    0.00000000    0.00000000
   12.10277843  126.20500183    0.00000000    0.00000000
   12.10583401  129.85200500    0.00000000    0.00000000
   12.10916710  124.80699921    0.00000000    0.00000000
   12.11250019  125.72599792    0.00000000    0.00000000
   12.11555576  121.04399872    0.00000000    0.00000000
   12.11888885  128.02200317    0.00000000    0.00000000
   12.12500000  128.02200317    0.00000000    0.00000000
   12.12916660  131.29499817    0.00000000    0.00000000
   12.13222218  131.77699280    0.00000000    0.00000000
   12.13333321  130.98699951    0.00000000    0.00000000
   12.13583279  121.49299622    0.00000000    0.00000000
   12.13916683  122.83799744    0.00000000    0.00000000
   12.14222240  127.02700043    0.00000000    0.00000000
   12.14555550  132.97000122    0.00000000    0.00000000
   12.14861107  124.28199768    0.00000000    0.00000000
   12.15194416  122.97699738    0.00000000    0.00000000
   12.15527725  123.36399841    0.00000000    0.00000000
   12.15833282  118.12599945    0.00000000    0.00000000
   12.16166592  116.02300262    0.00000000    0.00000000
   12.16777802  116.02300262    0.00000000    0.00000000
   12.17194462  121.72799683    0.00000000    0.00000000
   12.17500019  117.89700317    0.00000000    0.00000000
   12.17833328  121.05200195    0.00000000    0.00000000
   12.18166733  130.68800354    0.00000000    0.00000000
   12.18472195  122.74400330    0.00000000    0.00000000
   12.18805599  121.26599884    0.00000000    0.00000000
   12.19138908  114.48799896    0.00000000    0.00000000
   12.19444466  119.84300232    0.00000000    0.00000000
   12.19777775  115.19699860    0.00000000    0.00000000
   12.19999981  119.22200012    0.00000000    0.00000000
   12.20138836  111.76000214    0.00000000    0.00000000
   12.20472240  116.01699829    0.00000000    0.00000000
   12.21055508  116.01699829    0.00000000    0.00000000
   12.21472168  122.45300293    0.00000000    0.00000000
   12.21805477  118.60199738    0.00000000    0.00000000
