    HOUR (UT)   FLARE FACTOR    SKY TESTER    SUN TESTER
   11.17555618   -1.00000000   -1.00000000   -1.00000000
   11.31861115  100.52799988    4.90999985    2.61999989
   11.32194424   93.81279755    4.90999985    2.61999989
   11.32527733   -1.00000000    4.90999985    2.61999989
   11.32833290   -1.00000000    4.90999985    2.64000010
   11.33555508   90.41349792    4.90999985    2.61999989
   11.33888817  103.56099701    4.90999985    2.61999989
   11.34194374   90.30020142    4.90999985    2.64000010
   11.34527779   87.39910126    4.90999985    2.61999989
   11.34861088   92.08850098    4.90999985    2.61999989
   11.35166740   86.40309906    4.90999985    2.61999989
   11.35500050   89.57489777    4.90999985    2.64000010
   11.36111164   89.57489777    4.90999985    2.64000010
   11.36527824   88.55419922    4.90999985    2.64000010
   11.36861134   86.51300049    4.90999985    2.64000010
   11.36916637   91.99870300    4.90999985    2.64000010
   11.37222195   80.99109650    4.90999985    2.64000010
   11.37555599   94.25389862    4.90999985    2.64000010
   11.37861156   90.15820313    4.90999985    2.64000010
   11.38194466   92.27120209    4.90999985    2.64000010
   11.38527775   90.14209747    4.90999985    2.64000010
   11.38833332   92.46420288    4.90999985    2.64000010
   11.39166641   83.60040283    4.90999985    2.64000010
   11.39472198   88.79250336    4.90999985    2.64000010
   11.39805508   96.75689697    4.90999985    2.66000009
   11.40138817   85.04389954    4.90999985    2.66000009
   11.40444374   81.41079712    4.90999985    2.64000010
   11.40777779   90.48600006    4.90999985    2.64000010
   11.41222191   90.48600006    4.90999985    2.64000010
   11.41638851   88.40760040    4.90999985    2.64000010
   11.41916656   83.15709686    4.90999985    2.64000010
   11.42027855   83.86840057    4.90999985    2.64000010
   11.42361164   93.35320282    4.90999985    2.66000009
   11.42666721   89.84459686    4.90999985    2.66000009
   11.43000031   88.93000031    4.90999985    2.66000009
   11.43333340   94.30269623    4.90999985    2.66000009
   11.43638897   92.99259949    4.90999985    2.66000009
   11.43972206   89.75679779    4.90999985    2.66000009
   11.44277763   94.76999664    4.90999985    2.66000009
   11.44611073   94.43569946    4.90999985    2.66000009
   11.44944477   99.78549957    4.90999985    2.66000009
   11.45249939   90.50730133    4.90999985    2.66000009
   11.45583344   91.39610291    4.90999985    2.66000009
   11.45916653   90.26329803    4.90999985    2.67000008
   11.46361065   90.26329803    4.90999985    2.67000008
   11.46777725   91.82879639    4.90999985    2.66000009
   11.46916580   85.91359711    4.90999985    2.67000008
   11.47138882   82.91940308    4.90999985    2.66000009
   11.47472191   81.75240326    4.90999985    2.66000009
   11.47777748   82.18750000    4.90999985    2.67000008
   11.48111057   87.24629974    4.90999985    2.67000008
   11.48444462   83.28209686    4.90999985    2.66000009
   11.48750019   82.74259949    4.90999985    2.67000008
   11.49083328   92.34230042    4.90999985    2.67000008
   11.49388885   92.75090027    4.90999985    2.67000008
   11.49722290   79.16529846    4.90999985    2.67000008
   11.50055599   84.24669647    4.90999985    2.67000008
   11.50361156   95.42099762    4.90999985    2.67000008
   11.50694466   90.63169861    4.90999985    2.67000008
   11.51027775   90.33899689    4.90999985    2.67000008
   11.51472187   90.33899689    4.90999985    2.67000008
   11.51888847   83.45010376    4.90999985    2.67000008
   11.51944447   81.20159912    4.90999985    2.67000008
   11.52250004   94.56629944    4.90999985    2.67000008
   11.52555561   86.21340179    4.90999985    2.67000008
   11.52888870   94.12229919    4.90999985    2.67000008
   11.53222179   87.84079742    4.90999985    2.67000008
   11.53527832   92.00830078    4.90999985    2.67000008
   11.53861141   87.53669739    4.90999985    2.67000008
   11.54194450   79.63760376    4.90999985    2.67000008
   11.54500008   83.83830261    4.90999985    2.67000008
   11.54833412   83.46810150    4.90999985    2.67000008
   11.55138874   86.24559784    4.90999985    2.69000006
   11.55472279   80.88279724    4.90999985    2.69000006
   11.55805588   89.35279846    4.90999985    2.67000008
   11.56111145   89.61679840    4.90999985    2.67000008
   11.56583309   89.61679840    4.90999985    2.69000006
   11.56999969   84.46369934    4.90999985    2.69000006
   11.57333374   82.80030060    4.90999985    2.67000008
   11.57638836   86.62480164    4.90999985    2.69000006
   11.57972240   80.36430359    4.90999985    2.69000006
   11.58305550   83.05359650    4.90999985    2.69000006
   11.58611107   81.32910156    4.90999985    2.69000006
   11.58944416   82.31919861    4.90999985    2.69000006
   11.59277725   81.67379761    4.90999985    2.69000006
   11.59583282   82.95760345    4.90999985    2.69000006
   11.59916592   81.45279694    4.90999985    2.69000006
   11.60222244   80.11380005    4.90999985    2.69000006
   11.60555553   81.96269989    4.90999985    2.69000006
   11.60888958   79.03029633    4.90999985    2.69000006
   11.61194515   80.12390137    4.90999985    2.69000006
   11.61694431   80.12390137    4.90999985    2.69000006
   11.62111092   79.86530304    4.90999985    2.69000006
   11.62444496   78.68750000    4.90999985    2.69000006
   11.62777805   82.15599823    4.90999985    2.69000006
   11.63083363   84.01069641    4.90999985    2.69000006
   11.63416672   82.27169800    4.90999985    2.69000006
   11.63749981   78.47859955    4.90999985    2.71000004
   11.64055538   80.69170380    4.90999985    2.71000004
   11.64388847   81.13710022    4.90999985    2.69000006
   11.64722252   78.74590302    4.90999985    2.69000006
   11.65027714   79.41719818    4.90999985    2.71000004
   11.65361118   80.61550140    4.90999985    2.71000004
   11.65666676   81.90029907    4.90999985    2.71000004
   11.65999985   82.29560089    4.90999985    2.71000004
   11.66333294   81.70110321    4.90999985    2.69000006
   11.66833401   81.70110321    4.90999985    2.71000004
   11.67250061   78.85520172    4.90999985    2.71000004
   11.67555618   76.90070343    4.90999985    2.71000004
   11.67888927   81.68460083    4.90999985    2.71000004
   11.68222237   79.22299957    4.90999985    2.71000004
   11.68527794   78.35569763    4.90999985    2.71000004
   11.68861103   86.36830139    4.90999985    2.71000004
   11.69166660   77.43260193    4.90999985    2.71000004
   11.69499969   85.97969818    4.90999985    2.71000004
   11.69833374   79.77839661    4.90999985    2.71000004
   11.70138836   83.77300262    4.90999985    2.71000004
   11.70472240   81.68430328    4.90999985    2.71000004
   11.70805550   82.07550049    4.90999985    2.71000004
   11.71111107   85.24759674    4.90999985    2.71000004
   11.71444416   80.84349823    4.90999985    2.73000002
   11.71944427   80.84349823    4.90999985    2.71000004
   11.72361088   80.26210022    4.90999985    2.71000004
   11.72666645   81.29029846    4.90999985    2.71000004
   11.72999954   87.34899902    4.90999985    2.71000004
   11.73333359   77.55580139    4.90999985    2.71000004
   11.73666668   85.85990143    4.90999985    2.73000002
   11.73972225   86.10710144    4.90999985    2.73000002
   11.74305534   76.50460052    4.90999985    2.71000004
   11.74611092   83.73059845    4.90999985    2.71000004
   11.74944496   92.23439789    4.90999985    2.73000002
   11.75277805   83.23310089    4.90999985    2.73000002
   11.75583363   83.15049744    4.90999985    2.73000002
   11.75916672   78.25959778    4.90999985    2.73000002
   11.76249981   76.03109741    4.90999985    2.73000002
   11.76555538   77.57119751    4.90999985    2.73000002
   11.77055550   77.57119751    4.90999985    2.73000002
   11.77472210   75.74490356    4.90999985    2.75000000
   11.77805519   81.06179810    4.90999985    2.73000002
   11.78111076   78.26049805    4.90999985    2.75000000
   11.78444481   77.98139954    4.90999985    2.73000002
   11.78777790   82.39299774    4.90999985    2.75000000
   11.79083347   77.69589996    4.90999985    2.73000002
   11.79416752   83.31300354    4.90999985    2.73000002
   11.79722309   80.45429993    4.90999985    2.73000002
   11.80055618   79.86840057    4.90999985    2.75000000
   11.80388927   88.38249969    4.90999985    2.75000000
   11.80694485   81.94170380    4.90999985    2.75000000
   11.81027794   79.59559631    4.90999985    2.75000000
   11.81361103   79.87500000    4.90999985    2.73000002
   11.81666660   75.14320374    4.90999985    2.73000002
   11.82166672   75.14320374    4.90999985    2.75000000
   11.82583332   75.78230286    4.90999985    2.73000002
   11.82916641   85.49629974    4.90999985    2.75000000
   11.83249950   79.35790253    4.90999985    2.75000000
   11.83555508   77.10189819    4.90999985    2.75000000
   11.83888817   78.89479828    4.90999985    2.75000000
   11.84222221   75.79979706    4.90999985    2.75000000
   11.84527779   77.29329681    4.90999985    2.75000000
   11.84861088   79.91369629    4.90999985    2.75000000
   11.85194492   78.58740234    4.90999985    2.75000000
   11.85500050   87.67690277    4.90999985    2.75000000
   11.85833359   78.08650208    4.90999985    2.75000000
   11.86138916   78.26760101    4.90999985    2.75000000
   11.86472225   81.69190216    4.90999985    2.75000000
   11.86805534   78.62210083    4.90999985    2.75000000
   11.87305546   78.62210083    4.90999985    2.75000000
   11.87722206   85.51879883    4.90999985    2.75000000
   11.88027763   80.97760010    4.90999985    2.75000000
   11.88361073   77.43550110    4.90999985    2.75000000
   11.88666630   77.45099640    4.90999985    2.75000000
   11.89000034   86.20790100    4.90999985    2.75000000
   11.89333344   80.49330139    4.90999985    2.76999998
   11.89638901   77.85410309    4.90999985    2.75000000
   11.89972210   78.73449707    4.90999985    2.76999998
   11.90305519   81.18209839    4.90999985    2.76999998
   11.90611076   79.31510162    4.90999985    2.75000000
   11.90944386   78.53610229    4.90999985    2.76999998
   11.91249943   83.60530090    4.90999985    2.76999998
   11.91583252   79.16100311    4.90999985    2.76999998
   11.91916656   74.98860168    4.90999985    2.76999998
   11.92416668   74.98860168    4.90999985    2.75000000
   11.92833328   74.47440338    4.90999985    2.76999998
   11.93138885   77.67130280    4.90999985    2.76999998
   11.93472195   78.68360138    4.90999985    2.76999998
   11.93805599   75.12249756    4.90999985    2.76999998
   11.94111156   78.97380066    4.90999985    2.76999998
   11.94444466   76.41400146    4.90999985    2.78999996
   11.94777775   77.67019653    4.90999985    2.76999998
   11.95083332   77.18240356    4.90999985    2.78999996
   11.95416641   76.36840057    4.90999985    2.76999998
   11.95749950   77.02729797    4.90999985    2.76999998
   11.96055508   76.69789886    4.90999985    2.76999998
   11.96388912   79.59290314    4.90999985    2.76999998
   11.96694374   78.52680206    4.90999985    2.76999998
