  DATE    HOUR(UT)    TEMP   PRESS    HUM      WSP   WDIR
AAAAMMDD  HH:MM:SS     °C    mm Hg     %       m/s   0N90E
20180101  00:00:00   -65.5   686.4    41.0     3.9   294.0
20180101  00:05:00   -65.5   686.4    40.0     4.2   294.0
20180101  00:10:00   -65.5   686.4    40.0     3.2   294.0
20180101  00:15:00   -65.4   686.6    39.0     3.4   294.0
20180101  00:20:00   -65.4   686.5    40.0     4.0   294.0
20180101  00:25:00   -65.5   686.4    41.0     3.8   294.0
20180101  00:30:00   -65.5   686.3    41.0     4.1   294.0
20180101  00:35:00   -65.5   686.5    42.0     4.4   294.0
20180101  00:40:00   -65.5   686.4    42.0     5.8   294.0
20180101  00:45:00   -65.5   686.4    43.0     5.5   294.0
20180101  00:50:00   -65.5   686.3    43.0     4.9   294.0
20180101  00:55:00   -65.5   686.3    44.0     4.7   294.0
20180101  01:00:00   -65.5   686.5    44.0     5.1   294.0
20180101  01:05:00   -65.5   686.4    46.0     5.6   294.0
20180101  01:10:00   -65.5   686.3    46.0     4.2   294.0
20180101  01:15:00   -65.5   686.4    46.0     4.4   294.0
20180101  01:20:00   -65.5   686.4    47.0     4.6   294.0
20180101  01:25:00   -65.5   686.4    48.0     3.0   294.0
20180101  01:30:00   -65.5   686.3    48.0     3.4   294.0
20180101  01:35:00   -65.5   686.3    49.0     3.1   294.0
20180101  01:40:00   -65.5   686.4    49.0     2.6   294.0
20180101  01:45:00   -65.5   686.4    52.0     2.6   294.0
20180101  01:50:00   -65.5   686.4    53.0     2.9   294.0
20180101  01:55:00   -65.5   686.3    53.0     2.6   294.0
20180101  02:00:00   -65.5   686.4    53.0     3.6   294.0
20180101  02:05:00   -65.5   686.4    52.0     2.9   294.0
20180101  02:10:00   -65.5   686.5    51.0     3.9   294.0
20180101  02:15:00   -65.5   686.4    51.0     3.0   294.0
20180101  02:20:00   -65.5   686.4    50.0     2.6   294.0
20180101  02:25:00   -65.5   686.5    49.0     2.5   294.0
20180101  02:30:00   -65.5   686.5    48.0     2.2   294.0
20180101  02:35:00   -65.4   686.5    47.0     1.8   294.0
20180101  02:40:00   -65.4   686.5    46.0     2.2   294.0
20180101  02:45:00   -65.4   686.4    45.0     2.3   294.0
20180101  02:50:00   -65.4   686.5    44.0     2.7   294.0
20180101  02:55:00   -65.5   686.4    46.0     2.3   294.0
20180101  03:00:00   -65.4   686.4    50.0     3.3   294.0
20180101  03:05:00   -65.5   686.4    53.0     3.0   294.0
20180101  03:10:00   -65.5   686.3    55.0     2.7   294.0
20180101  03:15:00   -65.5   686.4    56.0     2.6   294.0
20180101  03:20:00   -65.5   686.4    57.0     4.2   294.0
20180101  03:25:00   -65.5   686.3    56.0     3.2   294.0
20180101  03:30:00   -65.5   686.4    56.0     3.2   294.0
20180101  03:35:00   -65.5   686.3    55.0     3.3   294.0
20180101  03:40:00   -65.5   686.4    55.0     3.7   294.0
20180101  03:45:00   -65.5   686.4    54.0     2.9   294.0
20180101  03:50:00   -65.5   686.4    54.0     2.8   294.0
20180101  03:55:00   -65.5   686.4    54.0     3.2   294.0
20180101  04:00:00   -65.5   686.3    55.0     3.4   294.0
20180101  04:05:00   -65.5   686.3    56.0     3.2   294.0
20180101  04:10:00   -65.5   686.5    56.0     3.1   294.0
20180101  04:15:00   -65.5   686.4    56.0     3.6   294.0
20180101  04:20:00   -65.5   686.3    57.0     3.9   294.0
20180101  04:25:00   -65.5   686.4    57.0     4.3   294.0
20180101  04:30:00   -65.5   686.4    58.0     4.1   294.0
20180101  04:35:00   -65.5   686.4    58.0     4.0   294.0
20180101  04:40:00   -65.5   686.4    57.0     3.0   294.0
